v1,v2
E,"Loki opened Thor's fly like he was unwrapping a gift. With intoxicating anticipation, Loki freed Thor's cock from the fabric. His fingers explored it, striving to leave no spot untouched. He wrapped his lips around the tip and stroked the shaft. He enjoyed the sensation of Thor's hardness in his hand: the firmness of the flesh and the hot, silky skin… Thor grabbed Loki's head and began to thrust wildly into his mouth. Soon Loki felt the gush of Thor's come and he hurried to swallow, relishing the complex taste and the smooth feel of it sliding down his throat."
E,"Eve whimpers. Villanelle's fingers curl inside of her. She meets her lover's blackened eyes. 'More, please,' Eve begs. Villanelle obliges and adds a third finger inside. Eve is close. So so close. She wraps her arms around Villanelle's neck, pulling her in for a kiss. 'Fuck,' she groans. 'Please daddy.' Villanelle freezes. Eve whimpers. Seconds later, her eyes go wide as realization hits. 'I didn't, I mean-' 'Say it again,' Villanelle orders. Eve is confused. Villanelle starts to move her fingers again at an agonizingly slow pace. 'Say it again.' Eve shudders as Villanelle's fingers pick up speed. 'Oh fuck daddy,' she moans. She's close, she can feel the heat rising, and Villanelle only speeds up. 'Again.' Villanelle curls her fingers. Eve tenses up. She clenches her eyes shut as she orgasms. 'Yes, yes oh fuck yes daddy,' she whispers as she falls over the edge."
E,"The demon whined dramatically, grinding against Froze roughly. ""Fruuoooooooze, I'm horny!! I wanna fuuuuck!!"" She ground against the angel more, moaning softly as she teased the angel through her panties. The angel offered no response but to raise her waist a little higher, giving Yosafire free access to her. The demon grinned, excitedly pulling down Froze's panties before grinding against her roughly, before pushing inside roughly, taking the angel as she read. She offered no real response, though her breathing became slightly more ragged as the demon began to pound her out. Yosaf's tail thrashed, and she moaned loudly, ravaging the angel with all she had, moaning and panting, clutching her as she took her, Froze's lack of reaction only spurring her on more, causing her moans to grow louder. The angel turned her page, and Yosafire fucked her harder, her tail coiling around her own leg as she grew close, her cock throbbing before she pumped Froze full of cum, sighing happily as she pulled out. The angel sighed, and gently pulled up her panties, sitting down with shaky legs. That had taken more out of her than she'd expected."
E,"Prompts for the Queen of Queen Smut Mrs annieapple24 . 1. Roger/Deacy : Deacy wants to know what is like to play the drums .Roger teaches him and things get interesting .(Only thing about this, is that Roger uses his drum sticks on Deacy ) . 2.Freddie/Brian : Brian is very young here and is sad because ,the girl he likes won't go out with him on Valentine's Day.Freddie being a good friend offers to take him out .Things obviously get a little bit *hot* later.   3.Freddie/John: Freddie is playing wrestling with John and things turn sexual, naturally. 4.Brian /Roger : Roger has a broken arm (he had a little accident ) he is pain due to the fact that is impossible for him to masturbate with his left hand.Tired of Roger complaining Brian decides to help him with that task."
E,"Do they know I call you Daddy? While you're playing cards in the pub, while you're working underneath cars, do they realise how you make me moan that title as you whip and bruise me, marking me yours? They see a best mate, a colleague like any other, they don't know how you make me beg for relief as you bring me to orgasm after constant orgasm. You hold the leash, the whip, my neck. But they don't know that. They don't realise you're my Daddy, my owner, and I'm your submissive little cumslut, who'll slave over your cock for a precious prize. They see an old man at heart and his young, ambitious love. They're not wrong."
E,"His cock rams into me in one powerful thrust, splitting me open from below and all the way to the limit of my cervix. My back shags weakly still until I'm lying flushed against his strong chest, moaning and sweating profusely, his thick arms wrapped around my slender waist to hold me still as he continues to fuck into my tight channel mercilessly, powerful and precise, the fresh blood trickling down my pussy and onto his throbbing cock becoming the only source of lubrication that can help ease my burden. I am trapped with nowhere to run, my pussy throbbing in pain, clamped down around his thick, pulsating hardness, the beat matching my estranged heartbeat."
E,"There are words, words he should say, but as he looks up into Sherlock's face, eyes nearly closed, the ridiculously posh lips parted as he moves slowly above him, he knows anything he could say wouldn't be enough, not nearly enough, so he laughs, then covers his mouth with both hands as Sherlock glares down at him, but the lips quirk up in understanding. As he well knows, the laughter is a symptom of joy, not of derision, and he leans closer and kisses him lightly, then whispers, ""happy anniversary, John."" There is nothing more to be said as John's arms wrap around him tightly as he buries his face into John's neck and breathes him in, their separate scents have long fused together, though he can still remember, as he always remembers everything; a time before, a time before John, a time before he was loved, before he found he was capable of returning the love. John's arms tighten around him as he sobs, fingers lightly trace over the old scars and as he finally finds his voice whispers back, ""happy anniversary, love."""
E,"It takes a surprisingly long time to get from the balcony to the bed, from kissing to what comes next. 'Cain,' Lucifer whines, when Pierce bears down on him. 'Cain.' 'Samael,' Pierce counters, and Lucifer wails, wings unfolding from his back. Afterward, under the blanket of feathers, Lucifer speaks softly, in the rounded, heavy language of the time before Babel. What do you desire? Cain answers, sharp and tight-jawed. To die. 'That's a different dialect,' Lucifer derails, in English again. 'Where were you living, then? Sounds Eastern.' 'Do you ever shut up?' Pierce growls, shoving Lucifer into the mattress again."
E,"From their heart-shaped tub, Stiles watched his naked husband stalk around dimming lights, the perfect way to spend their honeymoon. No. Wait. Not perfect. 'D'erk,' Stiles slurred. 'Ya need t' get in. Think I'm stuck in a ventricle.' Hopping gracefully into the tub, 'How much champagne have you drunk?' Derek asked. ' Lots . Kiss me now.' Derek kissed him. 'You taste like Veuve Clicquot .' Stiles sighed. 'You're so smart. Married you ‘cause you're so smart, ya know.' 'I know.' After another kiss, 'An' ‘cause you got a great ass and bomb dick.' 'I know, Stiles. You said that in your vows.'"
E,"Pressing himself against Derek's chest, Stiles felt sweat between them, and something like a baseball in his rectum. (Being the analytical type, he liked precise comparisons.) After his third orgasm he also felt a bit detached, mentally at least, from the proceedings. Derek, non-verbal, managed only grunts, exhalations both sudden and slow. Stiles reached behind, nesting his fingers in Derek's sweaty hair. 'So if I conjure up a knot on my dick, then I can knot you?' he asked. A deep, drawn out, ' Mmmm ,' meant Derek had either climaxed again or else he was agreeing. Stiles decided Derek was agreeing."
G,"Casey looks at Kevin with a jaunty smile. She turns on the stereo, she puts on some music and she comes back to him, but she approaches him with caution as if she doesn't really want to scare him in any way. ""Would you like to dance with me?"" she asks him, ""please"" she grabs his hands by dancing awkwardly together until she does a pirouette on herself. Kevin and Casey's laughs echo in their home. ""Hold me"" Casey whispers softly to Kevin, then she leads him by guiding his hands on her hips. She puts her head against his chest. It's like being in a dream. Their scars don't hurt anymore. All is well."
G,"Everyone gathered in the practice room for a group photo with Youngjae holding his birthday cake. After a couple pictures, he blew out the candles, and everyone clapped. Now it was gift opening time!  No doubt he got quite a haul from TRCNG being 10 boys and all, and of course 7 from SONAMOO. And there should be 5 from his B.A.P brothers---wait, there only appears to be 4?  “Hey! Daehyun!”   “What?” he replied, munching on some chicken.   Youngjae pointed at the pile of gifts.  “Oh!” Daehyun handed him the rest of his chicken. “I’ll share this once.”"
G,"Finally.     Humans and Monsters living on the surface together in peace and harmony.     After years of hard work as the Ambassador of Monsters, Frisk can finally rest in peace.     ‘Looks like this is the end, huh partner?’, a familiar voice is heard in their head.     ‘I suppose it is Chara…’, they respond in their head, while laying in their deathbed surrounded by family and friends, mixture of Monster and Humans.     ‘Well you are  old  after all.’     ‘Chara, are you forgetting the fact that you’re much  older  than me?’, Frisk asked amusingly.     ‘I’m a dead 10 year old, Frisk.’     ‘Does not change the fact that you’re  older  than me’     They couldn’t help but feel nostalgic having this banter with the voice inside their head.     When they stop bantering, Frisk could feel their body weakening than before.     ‘It looks like I’m going away soon…’     ‘Yeah… our time is almost up.’     ‘Chara, I hope in our next life we could meet again…’     ‘Me too, Frisk…’     ‘Love you Chara…’, the last thought in their head.     ‘… Love you too Frisk.’     A Newborn’s wailing can be heard."
G,"The mission had gone sideways from the moment he and Tony had touched down. The Hydra base they’d come to investigate was supposed to be abandoned. It was a cut and dry data retrieval mission, Tony just seeing what he could get off their computers. Steve had only tagged along because he had nothing better to do.  Instead, they’d been met by an ambush. Their coms had been scrambled and Tony’s suit taken out with what Steve was pretty sure had been an anti-aircraft missile. Steve had grabbed his unresponsive teammate and dragged him as far out as he could, but it wasn’t far enough. Hydra had still caught up with them before Steve could get them back to the quinjet.  “Move aside, Captain,” the lightly-accented voice instructed with smug glee. “It’s over.”  Steve all but snarled at the man, not moving from his place in front of Tony’s crumpled form. This bastard could fuck off right to hell.  “Why don’t you make me?”"
G,"It's not a very noticeable place, Thousands of places are just like this; A street full of non-discrete houses With homes full of non-discrete people.  People from all walks of life settle down here, All with stories to tell, some of them just beginning. But it matters not to me, I do not know them well. Our houses so close together yet so far apart, Walls of brick and business between us. We have no time for neighbors.  Only the changing leaves show a passing of time. So caught up in our never-changing lives. I do not blame them, I am the same.  The best way to describe my home is: ordinary. Like me, with billions of others like me. But it is what it is, It's home."
G,"Edith had always been an admirer of Virginia Woolf, so when she had the chance to go to Charleston to meet the Bloomsbury group, Edith was delighted.   In person, the Bloomsbury set were a marvel, Edith was overwhelmed, surrounded by her heroes, writers, painters and creatives and Virginia had been everything that Edith hoped for and more, the way she spoke with such passion, her effortless confidence and the way she looked at Edith as if she were the only person in the room. Edith was in awe of her."
G,"That morning, Saten-san barged into the judgement headquarters that the four found themselves converging every day.  “Guess what guys, I enrolled in a kendo class!”  Misaka gulped audibly.  “Now I’m going to fight with Misaka-san and Shirai-san!” She cheered miming sword motions.  Misaka didn’t think her encouragement would spur her into putting herself into such danger, but she didn’t have the heart to disagree with her after having heard the thoughts of all the level 0’s in academy city.  Kuroko began to speak, “Saten-san that is far too dangerous for you and I can no-“  Misaka began to put her hands over Kuroko’s mouth.  “Th- that’s amazing Saten-san I look forward to it!”. Misaka managed to choke out.  Saten beamed. "
G,"The sun was setting.  Jongup was going to an office to meet up with his Triple Nine friends. With his hands stuffed in the pockets of his hoodie, he noticed his shadow casted upon the wall. Usually he thought nothing of it, but he watched as the silhouetted reflection mimic’d every move he’d make.  He jumped, it jumped. Spin around, an in-sync copy. There was no way escaping your shadow. As long as light shined, it would hide behind you. But that also meant--  “Jongup-hyung!” Junhong called.  “What took you so long?” Yoonsun asked.  “I was dancing with my shadow.”"
G,"Another day, another headache. I long for these days to be over, they consume me; the days of being bedridden with my head pounding with waves of unbearable pain, unable to remember my past. The days of having my every need taken care of when others need it far more... I’ve spent long enough in a bed, I have done my fair share of sleeping, of being taken care of. It’s time for me to wake up and move past the world that has consumed my life... And yet, it is the world of my dreams that lead me to what I believe to be my hope, my only chance at finding out the truth of Lucio.  A small magic shop, sitting in town, it calls to me. While this was the first time I have seen it, my gut tells me that is my next destination.  As soon as my headache begins to clear, I swiftly throw on my cowl and exit my room."
G,"Bertie stared agape at his valet, who'd gone distinctly pink around the ear and cheek region, before said valet biffed off in the direction of the kitchen, presumably to lick his wounded pride. The last of the Woosters simply couldn't believe what his own eyes and ears had told him-that the reason why Jeeves seemed to make himself scarce when crooning was called for, was because the man quite simply, could not carry a tune in a bucket, nor even a wheelbarrow. He couldn't keep a pitch if he had a team of groundskeepers. Quite simply, the velvety voice that was apt to make one go gooey around the middle when speaking could not sing. It took a full minute before Bertie could pick his jaw up from the floor, and another to realize that perhaps apologies should be in order-after all, he'd cajoled Jeeves into singing along with him, despite numerous protests. Looking forlornly at the paisley print tie around his neck, he removed it with some sadness, deciding that it was the least he could do."
E,"“Potter,” Draco spits the name out, and gives the other boy a dirty look when they meet in the hallways. “Potter,” he whispers to himself, as a dirty little secret when he’s alone. “Potter,” he moans quietly at night, stiff prick in his hand, his mind filled with dirty desires. “Potter,” Draco whimpers, afraid for his life, hiding for the dirty deeds that are done in his house.  Potter, he thinks, but he tells his aunt that he can not be sure, her dirty breath filling his nostrils.  “Potter,” he gasps, when he sees the lifeless body with the dirty face, his heart painfully aching in despair. “Potter,” he says stiffly when the man shows up to his house, bringing back the wand he stole from him with his dirty hands. “Potter,” he sighs, and forgiveness was always a dirty word until now. Now it is offered to him. “Potter?” Draco asks in disbelief when an embrace washes everything that once was dirty away. “Harry,” He smiles, and the sun is warm and bright when he takes his hand."
E,"Sherlock's a tease, shilly-shally He made John wait Now it's John's turn, shilly-shally To retaliate  John's in no rush, shilly-shally He'll take it slow Sherlock just wants, shilly-shally To fuck his dildo   John strokes his thigh, shilly-shally And kisses his lips Sherlock cries out, shilly-shally And bucks his hips   Sherlock’s so close, shilly-shally His hands clench to fists John gives a smirk, shilly-shally And binds his wrists  John takes his time, shilly-shally Strokes his cock slow He wants to play, shilly-shally Won’t let Sherlock blow  Until at last, shilly-shally John kisses his bum Sticks his tongue in, shilly-shally And lets him come "
E,"Richie? Yeah? I think I'm a little high. Well that's good I guess it worked. Richie? Yeah? I really liked having your mouth so close to mine. Me too. Richie ? Yeah Eddie ... I think I'm a little high... You already said that... Eddie rolls slightly sideways puts his hand on Richie's chest and looks down at him... Richie? Yeah? Can I...can I put my mouth next to yours again? Yeah, sure, Eds. Eddie leans in looking at Richie's lips, then his eyes then back at his mouth again. Then he very very gently places a mostly bottom lip kiss on his mouth. Richie brings his right arm around to put on to Eddie's hip. Richie? Yeah? Is this okay? Yeah Eddie this is great. Can we do this when we're not high sometime you think? Yeah that'd be awesome. Eddie? Yeah? I'm going to grab your ass now. Awesome. Eddie rolls forward so that his hip bone is locked on top of Richie's and his left leg slides in between Richie's legs. Richie? Yeah Eddie...  This is the best I've ever felt my whole life... Hey Ed's... Me too."
E,"""Shiro wait, before we have sex I have a confession to make,"" Keith said. ""I lost my virginity to Towelie."" ""Me too,"" said Shiro. ""Me three,"" said Pidge. ""Yeah, I might've messed around with him back at the Garrison,"" said Hunk. ""And on Altea, I had a secret affair with him until Father found out and kicked him out of the palace for being high all the time,"" Allura added. Lance burst into tears. ""WHY, TOWELIE?!"" he sobbed. ""You said I was special!"" ""Don't forget to fuck a towel!"" said Towelie. Then Sparky ran in and grabbed Towelie in his mouth and jerked off with him. ""Wow, that towel's a slut,"" said Pidge. ""Let's get high."" So everyone got high and Keith and Shiro didn't get to fuck until later that night. "
E,"He is warm and present.    So warm she is melting alive, rooted to the spot, struck by the lightning of him.  The heat of his skin seems to sear her as he pulls her tight to his chest.  His mouth is an open wound, mumbling curses that feel like reassurances.  Her teeth are white and dig like ploughshares as they bite into his shoulder and his fingers find the readiness of her.    They come together frantically, with rain pounding against the roof.  The orgasms are all throbbing hearts and scraping nails.  Let them be damned together.  Let them be saved."
E,"It’s her despair that orchestrates the killing game, so she figures it’s okay to meet Celestia in the courtroom long after the other students have left.  After all, it’s her lips that press against perfectly painted red, smears the lipstick there and pulls a soft sound from Celestia’s throat.  It’s her nails that drag up unblemished milky skin and leave angry red lines there.  It’s her thumb that presses into Celestia’s clit and pushes her closer, closer, until she orgasms with a shaky cry and raises her hips from the bed.  It’s  her  and nobody else that can love Celestia. "
E,"(I don’t know Russian, so hopefully the translation site I used didn’t give me nonsense…)  Caption Translation: &lt;“So good for me…perfect, sweetheart…”&gt;   “Fuck,” Steve groaned, trying to push back even further and struggling against the iron grip that pressed him down. He  needed  Bucky closer, needed to feel him. “Keep going.” Needed him to keep talking. Bucky started talking again, his voice a low rumbling rush of accented words which were punctuated by each roll of his hips. Steve only understood about one word in ten but he didn’t even need to know what filth Bucky was crooning at him to know every delicious syllable that ran off Bucky’s tongue went straight to his cock. And god did he love it. "
E,"welcome to hell  shuichi walks to the park. he sees the Kork sitting at the playground, he was eating off a plate of moldy, crusty toes. there were laughing children loitering around the park, and there was Kornkyio. Eating toes.   kojkorio was staring at the children with intent. shuichi got a bad feeling about this. he made his way over to korekhio and crossed his arms in disgust. “what r u doing around these children.” said He, the Shoe.   “i am enjoying a delectable lunch and observing the wonders of humanity.”  “sore wa chigau yo you're planning to kidnap them you creepy piece of rusted bread.”  “no sucih… I am planning to kidnap you!”  “whatt!!!!”  Korjkio takes shuichi to the seesaw and pulls down shhycihi’s pants. the mother of children's scream in horror as korkjio jerks succi off.  “mmmnnnmsmksjdjhkmm oohhhjj korkrko feeks good jdkdkfkjwksskHJjajjajskkdJSJJDKDKEK MMMMMMM FUCK JDKKSHAHA” shuichi comes all over the seesaw in .2 seconds   The end"
E,"The position they were in wasn’t exactly comfortable for Tom. He was bound to have back pain and knee pain and shoulder pain and well everywhere pain the next day. This was not angle a human person was meant to stay in for long.  However, he knew he could bare it if only because Dickie seemed to be enjoying himself. That alone made it enjoyable for Tom.  Tom had imagined their first time to be different. Sure he wasn’t expecting rose petals but he still thought different. It would have been different if Dickie hadn’t caught Tom going through his closet. The look on Dickie’s face, a look of absolute disgust, would probably stay with him forever even though he only had to see it for a few seconds before Dickie knocked him onto the ground.  Dickie thrust a little too hard and Tom squirmed, “Please.”  “Jesus, you want it bad. Probably all you think about,” He looked down at him, “You’re so fucking pathetic.”  Dickie didn’t laugh as he said that. He didn’t even crack a smile. Tom wasn’t sure if that made it hurt more or less."
E,"while you quietly savour the soothing moment in the tub, putting your head on his shoulder. It feels so good that you nearly fall asleep, but then you feel his finger circle around your belly button.  ""Hmm... I like that.""  ""How about this?""  Richard asks with a dirty smirk on his face, taking your earlobe between his lips. His fingers trace up and down your side before he slips them into your inner thigh.  You try to tell him to stop but he puts his other hand over your mouth and says,  ""I won't stop until you arch your back and scream my name."""
G,"“Weak American ghost, ptah!” Zoya spits in defiance of the inexplicable footsteps that plod down the dark hallway. “Western cholesterol has made you slow and insubstantial, unlike strong - “ she pats her stomach, demonstrative and obstinate. “Soviet borscht!”  Liberty Belle leans conspiratorially in to the camera and crosses her fingers, “Well, our audience is mostly good American boys and girls, so we’re cheering for that blessed little ghost from the heart of Louisiana, aren’t we?”  The footsteps suddenly speed up, and she bounces and cheers as Zoya squares up.  “Go get her, ghost! Red, white, and boo your little heart out!”"
G,"When the furious sky cheered, the dark-haired girl shrank even more in the corner of the room, shrieking trembling, feeling her body strongly restless and a sorrow in her hypothetical heart. She was feeling bad. She felt bad for not being able to overcome her fear and go to rehearse with others even when they discovered they couldn't hurt them.  And falling prey to her panic, he didn't hear the door open slowly, followed by the sound of steps that apparently wanted to go unnoticed. She was scared, nervous, and that feeling increased when someone hugged her with clinging.  ""Don't worry, everything's fine."" Saki's naturally aggressive voice sounded gentle and anguished, surprising Ai who let out a few tears. In turn, her fingers were tangled between her hairs, making her almost assure that it was someone else; but she remembered that the biker was the only one who knew the cause of her death. “Don't you want to accompany us?” In response, she denied forcefully. “It's okay, I'll be with you. The girls will be fine without us...” "
G,"Laurus Nobilis       The night I saw your eyes  I saw the bottom of the Mediterranean sea  And trapped under the cool blue   A burning, glistening jade  You do not fear the cascade     The day I saw your smile  I saw our talks, how they would run for miles  Meaningful moments full of meaningless words  Drift till one of us goes unheard  You do not ignore the absurd     The time I saw your hand  I saw the laurel of bay around our heads  Long, coarse, and victorious - you are the evergreen  Step down from the display  You do not give in to the sway     And I pray that you stay that way - pantotiná."
G,"When there's snow, I come out of my den, high up in the mountains. A blizzard again. Perfect. No one would see me.  Up I fly. Up and up and up. Until I pass the clouds and burst through their icy layer. It is cold up here too, but I thrive in the extreme temperature of the snow called mountains. Such a small change wouldn't harm me.  Deciding to see the world below, I dip through the clouds, watching snow fade into the grass, and then the forests in the valleys.   And as I pass over this world, I become just a dragon in the sky."
G,In the winter My window freezes The one in the highest part of my room  Where my curtains don’t reach Far above my bed.   I do not fear the cold  Instead I mourn the loss of my lovers face  If I peel back the velvet Early into the winter morning  There is a chance I will see her.   Usually I fall asleep  Lost among endless pages  Intertwined with my blankets  And poked by my pencils  Missing her lovely gaze.   But not tonight  After this years first snow fall I will wait with the sheets of ice That snuck into my room To see her dressed in red And kiss her goodnight.
G,"             Steven's other half, his light that had left his body, stared blankly at its host. Not saying a word; it picked the now  completely  human child into its arms. It's expression changed there, now it was no longer blank and unfeeling. It was full of sorrow, crying like he was. Steven's sorrow turned into joy-- hope for the future --as his arms wrapped around its neck. The sorrowful light looked confused at the boy's laughter, but it soon starting laughing itself, there was no sadness or worry there. There was only happiness. The boy who questioned his identity for the last fourteen years finally felt free. Because he was him. There was no  her  to be found. The light that shined for his mother once understood. Its host was now... will always be... at peace. With himself, with the mother who'd birthed him. Two beings became one again; the simple half-gem child named Steven Universe. Tears that fell afterwards, they still were only out of joy."
G,"He wonders what his new people see when they look at him from afar. Do they see only the stranger, the half breed abomination that their Queen gave life to from the surface world that attempts to be a king to them?  Or do they see an Ocean Master turned King, who commands the loyalty of all sea beasts?  For his part, Arthur tries to make himself appear to be less of a bumbling, hulking creature whom they laugh at behind his back and works hard to learn their ways with the help of Mera, his Mother, and Vulko even while tending to the responsibilities that he has on land."
G,Pig started his story again   Where there was a beautiful princess who used to cry day and night nobody knows way  Her tears where rad like blood  Her eyes were rad  Her mouth were round   Her hands used to shake while prying  She used to sing songs  And the animals of the forest were her friend  The princess were lonely very much     She used to stay in her room all of her life  Never come out once   Only servants saw how beautiful she was  They were jealous of her beauty   But sad too of her sadness  The crying princess never got married  Nobody come to save him  No Prince of her dream come  That's how her life goes on
G,Mom saw my face it was cold  I know her hand was tumbling   But still she hold me close to her chest  Where i knew i would be save     I died when i was really young maybe two and half year old  I have dark skin tone  But i don't care  Maybe because i am too small too care  I find myself beautiful like a princess  Waiting for her Prince     I can see when i grow up having a future but death always comes first  Mom my poor mom waiting for me at the door  Aren't caring about what people are saying   I know and i believe she will save me  She keeps waiting     Every life i am getting a new mother  All of them love me the same  Mother's love never change  But i am scared for him  What he will do to me   I am in a hole and there is fire and Mudd in me   And i am suffocating   I need air   I hold my trout  I don't feel pain from the fire  It just that my heart is breaking  Dying every time  Death is the path i can't refuse 
G,"She has her own special way Of turning around my terrible day. She makes all the bad things go away The second that she says hey. And when I look into her eyes, I see pure beauty with no disguise. Just a glance at her makes my heartbeat rise. I know for a fact that these feelings aren't lies. If only she knew How much my love for her grew, Maybe, just maybe, we could start something new, And then I'd never feel blue. And if beauty were inches, she'd go on for miles. I'd better catch her before I go out of style. I'm going to let my heart be my dial So I can tell her what I've been feeling for a while"
