entry	HITS	KUDOS	TAGS	TEXT	TITLE	WORDCOUNT	COMMENTS	SUMMARY	DATE	BOOKMARKS
10	43	2	General Audiences,No Archive Warnings Apply,Gen,The Magnificent Seven (TV),Vin Tanner,Ezra Standish,Chris Larabee,	"Written for Mag7Bingo Prompt: Dialogue only  ********************************** ""Larabee."" ""Will you accept a collect call from an Ezra Standish?"" ""Yeah, Put'm on."" ""Mister Larabee, I can assure you that in no shape, form or fashion is this debacle mah fault!"" ""Yeah, right!"" ""Shut up, Mistah Tannah!"" ""Ezra, what happened?"" ""I was simply attempting to cross the road!""  ""Dressed as a giant chicken."" ""Shut up, Mister Tannah! And I am not dressed as chicken! This is a rooster costume!"" ""Then how come I'm an egg?"" ""These were the only costumes that they had left!"" ""Ezra!"" ""Mister Larabee, I assure you there truly was no reason for such a fallacious response and then to arrest me!"" ""Except maybe the sixty-five car pile up that ya caused."" ""Shut up, Mistah Tannah!"" ""EZRA!"" ""Yes, Mister Larabee?"" ""Where are you?"" ""Houston."" ""Where in Houston?"" ""The Police Station."" ""Reisner Stationhouse, Cowboy."" ""Mister Tanner, this is my phone call!"" CLICK ""Mister Larabee? Mister Larabee? See what you've done, Mister Tanner! He hung up on me!"" ""What I've done? What I've done? Weren't none of this my fault!""  The End "	The Call	180	0	The Agent in Charge of ATF Team Seven gets a call from two of his men. 	2019-02-03	0
11	2	0	General Audiences,Creator Chose Not To Use Archive Warnings,F/M,Disney - All Media Types,Pocahontas (1995),thomas/reader,Thomas/you,Thomas (Disney: Pocahontas),You,Reader,Y/n - Character,Romance,Fluff,Proposals,Established Relationship,Developing Relationship,Relationship(s),Alternate Universe,Reader-Insert,Birthday,Birthday Fluff,Birthday Proposal,	You stared down at the adorable man on his knees before you. His dark eyes were doe-like, holding his love for you, his question, and a hint of determination.   You knew he wanted this more than anything, wanted you more than anything, and you weren't giving him an answer right away because you just wanted to stay in this moment for a while. You wanted to etch the way he was gazing up at you into your mind, memorize the exact notes his voice had taken when he asked, 'Will you be my wife?'  But when you noticed the lines of his face begin to fall and the resolve in his brown orbs falter, you realized you could not take your time any longer.   You joined him on the floor, your arms going to wrap around his neck as his palms found the small of your back, and pressed a kiss to his eyelid, 'Yes, my love.'  His hold on you tightened, and he buried his head into the crook of your neck.   'Thank you.'  'No, Thomas,' you hummed against his cheek. 'Thank you.'  He was the best birthday gift ever given to you. 	The Best Gift Ever Given	194	0	Thomas proposes to you on your birthday. 	2019-02-03	0
12	18	5	General Audiences,No Archive Warnings Apply,Gen,Sherlock Holmes - Arthur Conan Doyle,Ferret - Character,Ocelot - Character,Mouselet - Character,Aemelia Vole - character,	It wasn't often the Ocelot was rendered speechless, but now he stood still, his mouth slightly open, until Aemelia Vole took pity on him and said, 'It is rather unusual, isn't it?'  'It's a surprise,' added Mouselet.  'That I would agree with,' the Ocelot replied.  'No,' Mouselet said.  'He got the idea from the case Mr Holmes is currently involved with.  You know, the one where the dancer leapt out of a giant cake.'  'Providing the distraction whilst her associate stole a number of valuables,' the Ocelot said, nodding.  'Yes, I remember.'  Aemelia continue the explanation with a sigh.  'The Ferret thought this would be a great way to wish our friend a happy birthday.'  'There's only a couple of slight problems with this idea,' Mouselet added.  'Firstly, he's far too fat for a gold lamé leotard.'  'And secondly,' the Ocelot said.  'He'd have eaten the entire cake before the presentation could be made.'    	Not The Best of Ideas	154	3	The Ocelot, for once, is rendered speechless! 	2019-02-03	0
13	1	0	General Audiences,Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply,Gen,The Little Mermaid (1989),Mermaids (1990),The Little Mermaid - All Media Types,Mermaids.,Poetry,Ancient History,Alternate Universe - Historical,	The enigmatic mermaid's myth  A legend now fortold  Describing lady-like sighing siren's  The timeless appeal  The pacifying sea-mistresses  Timelessly drifting upon torrid current's  The lurid mirage of mischief  The End. 	Illusions...	125	0	May be of interest to someone/somewhere/someday!... 	2019-02-03	0
14	14	0	General Audiences,Creator Chose Not To Use Archive Warnings,F/F,Chilling Adventures of Sabrina (TV 2018) RPF,Zelda Spellman/Reader,Zelda Spellman,Miranda Otto,Love Poems,Poetic,Poe - Freeform,	I love her     Her face is like a whole new universe    Each time she looks at me    I find no way out    It is impossible to look away    Oh, how I love her    I love the way her smile shines like the sun    How the moon reflects in her green eyes    Eyes that are brighter than the stars  themselves    Oh, how I love her    Even her laugh    It's as beautiful as a shooting star    When she cries    Small raindrops fall from those stormy eyes    My love, my universe    Oh, how I love her    She appeared in my life     Like the solar system with the Big Bang    Suddenly, unexpectedly    Bringing me to life    Oh, how I love her.  D. N. L  	I love her	120	0	I haven't write a poem in five years. Miranda has inspired me to write one!! So this one is dedicated to her and to all women... 	2019-02-03	0
15	37	7	General Audiences,Creator Chose Not To Use Archive Warnings,M/M,Bastille (Band),Kyle Simmons/Dan Smith,having to use nappy rash cream as an adult on what is essentially nappy rash,imagine that situation,	'You need to shave,' Kyle says.  They're sitting at the front of the bus, Dan dumping a third spoon of sugar into his coffee and looking put upon. 'Rude.'  'Just a fact, mate.'  'I think it's aesthetically pleasing.'  'Give a shit about your aesthetics. I've got beard rash.'  Dan stares at him, gestures in the direction of Kyle's beard. 'Have you looked in a mirror recently?'  'You never sit on my face,' Kyle tells him, bluntly.   There's a second pause where the information sinks in. 'Oh,' Dan says, going red. 'Oh. Shit. Sorry. Fucking. Really?'  'Really.'  Dan disappears to the bathroom, coffee abandoned on the bench. When he reappears his face is scrubbed pink and smooth as a baby's arse. Will wolf whistles.   'Would,' he says.   'Don't flatter yourself, this is for Kyle. He's got beard rash on his arse.'  Will raises an eyebrow. 'Can't tell if you're joking or not,' he says, glances at Kyle who is looking anywhere but at Dan. 'Oh,' he says. 'Sudocrem works a treat, mate.'  'Thanks,' Kyle mumbles. 	There's the rub	174	2	Dan needs to shave. 	2019-02-03	0
16	27	0	General Audiences,Creator Chose Not To Use Archive Warnings,Dragon Ball,	"The voice in the back of her head had finally won.  ""Oh, come on, it has my name written all over it!"" "	Raddled	100	0	raddled: adjective | RAD-uld  broken-down or lacking composure 	2019-02-01	0
17	11	0	General Audiences,Creator Chose Not To Use Archive Warnings,Gen,Fruits Basket,Honda Tohru/Sohma Kyou,Honda Tohru,Sohma Kyou,	'Kyo?' Tohru called out for her fiance as she walked through the house to see him sitting at the couch watching T.V. with their son.  'Yeah is something wrong, Tohru?' Kyo asked as he stood up and walked over to Tohru with Hajime in his arms. Tohru shook her head.   'No nothing is wrong Kyo,' Tohru said taking Hajime from him. Kyo stared at her before wrapping his arms around her and placing a kiss to the top of her head.  'How about you and Hajime go lie down for a nap, while I finish up on dinner?' Kyo suggested.  'No, You don't have too. I'm fine.' Tohru insisted but Kyo shook his head.  'It is fine, I will wake you up when dinner is done,' Kyo said pushing them towards their bedroom.  'Okay, but only for a little bit,' Tohru said walking towards their room.  'Tohru,' Kyo called out to her.  'What is it Kyo?' Tohru said turning around to face him with a smile.  'I love you,' Kyo told her.  Tohru blushed before telling him, 'I love you too.' 	Affection	182	0	Kyo and Tohru love each other. 	2019-02-03	0
18	43	8	General Audiences,No Archive Warnings Apply,Gen,Final Fantasy XV,Lunafreya Nox Fleuret &amp; Ravus Nox Fleuret,Ravus Nox Fleuret,Lunafreya Nox Fleuret,Poetry,This Ain&#39;t The Best But We Have Sad Ravus,I Channeled My Inner Richard Siken Here,	say ivory and white / salt and wedding dress / high towers and ruins / locked door and open cage / say treason and terror and hurt and hunted / say chosen and mean dead / dead meaning martyr / martyr meaning sister / sister meaning chosen and oracle and hope / sister meaning light and queen and dawn / sister meaning sister meaning murdered meaning dead / sister / red stained / ruined dress / sister as sacrifice and / what is a pawn? / not chosen / unworthy / strong and frail and fumbling / heart shattered / dark reigning / what does it mean to be holy but to die? / i would have died for her / for them/ for mother and sister and kingdom and country / what good is a king with no crown? / what is a king but a shield? / what use is a shield with nothing to defend?   say fire and ache and pain / say dark and light and hope / king to king to king the sword goes / say peace   say death 	Sister (Chosen)	156	2	What good is a King without his kingdom? Or, a look into Ravus' thoughts. 	2019-02-03	1
19	52	16	General Audiences,No Archive Warnings Apply,Other,Babylon 5,Delenn (Babylon 5),Susan Ivanova,Gift Giving,	"Delenn set the gift box down, and Susan noted that it was painted to look like the station. Then she noted there was a seam around the middle.  ""Please open it?"" Delenn entreated.  Susan reached and pulled it apart at the seam, revealing the same shape, smaller, painted like Sinclair. She could not help gasping, or her eagerness in pulling that one apart to find Garibaldi, and then Franklin, and then Sheridan.  ""Matryoshka dolls,"" Susan said, before opening Sheridan… to see herself, and knew one remained. Her fingers shook at revealing Talia.  ""She is always within you,"" Delenn said softly. "	Within You	100	3	Delenn has a gift for Susan. 	2019-02-03	1
20	13	1	Teen And Up Audiences,No Archive Warnings Apply,M/M,Stargate Atlantis,Rodney McKay/John Sheppard,Rodney McKay,John Sheppard,	That time in the twilight, after the loving and before sleep, is the best. A sloppy kiss, full of promises and thanks and laughter eased by exhaustion, Rodney feels John's smiles rather than sees them. Bumping his nose into the corner of John's mouth and darting his tongue out he steals one more, two more tastes. John's snuffling near his ear tickles, and Rodney shivers from the sweat on his skin cooling under the soft breaths. They shift limbs and fit together in a jumbled, half-finished puzzle. John often murmurs quiet wordless sounds but Rodney knows what he means. He answers the same way, and with touches, knowing and sure. His mouth follows his hands until heavy-lidded and weighed down by the comfort of sleep, he drifts away, secure, happy and loved. 	Twilight	132	0	Drabble. 	2019-02-03	0
21	5	0	Teen And Up Audiences,Major Character Death,Gen,Zero Escape (Video Games),Sigma Klim,Tenmyouji Junpei,Kurashiki Akane | June,Clover Field,Dio (Zero Escape),Alice (Zero Escape),Luna (Zero Escape),Quark (Zero Escape),Kyle Klim,Phi (Zero Escape),Poetry,Zero Escape: Virtue&#39;s Last Reward,	It injects quietus  Death runs through their blood  It silences them  Lifeless; Worthless; Motionless     And they laugh  As their heads feel heavy  Their bodies float  They reach out to grab  And slump     They fall  A thud resounds  It echoes in the grey room  It turns to silence     A breath parts from their lips,  Death captures it in a kiss  It is an imaginary form  For they have long been gone     The watch injects fluid  It injects death  It courses through their veins  It leads straight to their hearts  It is a cycle  It is still a cycle     Is it Death's cycle?  No, it is Zero's cycle  And who is Zero?  They do not know  All that they know,  Is that they are dead     It injects quietus  Death runs through their blood  It silences them  Lifeless; Motionless; Meaningless. 	Quietus	137	0	And in the end, the poison kicked in and prevailed them, leaving them to die. Poetry (Virtue's Last Reward). 	2019-02-03	0
22	9	0	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,Gen,Rogue One: A Star Wars Story (2016),Jyn Erso/Knife,Jyn Erso/her truncheon,Jyn Erso,preparing to fight,less than 150 words and art,Fanart,look one thing I find so relatable about Jyn is her anger,so this is another ode to that character trait of her,	The first person that had handed her a knife for a fight said to her 'Whoever picks a knife as weapon needs to be prepared to get stabbed them self.'   Of course, it hadn't been the first time she held a knife, but before she had ended up cutting herself, despite her mother's warning. It was the first time that she held it with the purpose of killing.    If she'd focus on her hand, she could probably make the scar she got from that cut out. But her attention was up front.     Her muscles tense, the grip around the vibroblade and her truncheon in the other hand were firm. Her blood was boiling, lava running through her veins.   A volcano ready to unleash its fire, its anger.     A new star being born. Burning across the night sky.   Saw's best soldier.          Jyn.       	Fire	141	0	A drabble plus a sketch 	2019-02-03	0
23	7	0	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,방탄소년단 | Bangtan Boys | BTS,Reader,reader&#39;s friend(s),I&#39;m Sorry,Plz dont hate me,Based off a meme,wtf have i done,	"""Hey Y/n!"" one of Y/N's friends laugh out, ""Look at this!"" then shows her their phone. On the screen is a photo that makes fun of BTS. ""It's so true though."" the same friend says. You felt your face turn angry, and you friend looks at you weird. ""Y/n?"" the friend asks. ""No-one trash talks BTS."" Y/N almost yells. Her friends face falls, then kinda looks scared. ""If you weren't my friend I would actually mean this, Twinkle twinkle little star, want to hit you with a car, throw you off a roof so high, hope you break your neck and die."" Y/N says, then stalks away, leaving her friends shocked, and probably contemplating their life decisions. "	when you go out with your non-K-pop friends and they start talking bad about BTS	122	0	I'm sorry plz don't hate me. I saw a meme of this, and I had nothing better to do so. anyway leave Kudos if you enjoyed, and leave your thoughts in the comments. -Bekah 	2019-02-03	0
24	44	1	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,F/F,F/M,M/M,Wanna One (Band),Produce 101 (TV),Kang Daniel/Ong Seongwu,Kang Daniel &amp; Ong Seongwu,Ong Seongwu,Kang Daniel,Hwang Minhyun,Choi Yoojung,Kim Doyeon,Friends to Lovers,Minor Hwang Minhyun/Ong Seongwoo,First Time,Professors,Everyone Needs A Hug,	Prologue  'Oh! the things you make me feel when you're inside of me, compel me to obey you. when you simply carress my cheeks and let yourself free into me, and pull my hair to bring my body closer to you, it gives me a sip of the mad hatter's tea and feeds me the forbidden fruit. That array of emotions is like a feather's touch compared to the things you give me as gifts after we make love. The little conversations we share in our safe and sound bubble. The stories of you. The  Sherlock , the  Macbeth , the  Clyde , the star of your stories,  you , is what keeps me bound to your gravity. Only you,  Min .'  'What on earth Professor? This is how you described losing your virginity at 17?' Daniel said with laughter seeping from his words.  'Look, you said you wanted to know what I wrote in my diary eight years ago on this very day. I'm sorry if you signed up for some dumbass monologue about how beautiful his seed was.'  'Again, nobody would do a monologue about cum and stop calling it seed!'  - 	but-	188	0	Ong Seongwu, the Humanities professor, is not amused when another employee gets too chummy with him and asks him toread an excerpt from his diary, which he found under eight years of dust and shame. 	2019-02-03	0
25	29	5	Teen And Up Audiences,No Archive Warnings Apply,Gen,American Gods (TV),Laura Moon,Drabble,Prompt Fic,References to Depression,	It was her luck that from the beginning Shadow had never thought her idea could work. It was her luck that Laura was the kind of person who was always pushing her luck, just a little more, just a little more.  With depression like hers, that was part of the thrill. And even after, there were things that satisfied her need to push like that. They had come after and before, but they had always been there, punctuating her life. The job in the casino, well, that had the bitter ring of irony to it, didn't it?  Yes it did. 	Laura's Luck	100	0	Laura muses on her luck. 	2019-02-03	0
26	38	4	Teen And Up Audiences,No Archive Warnings Apply,M/M,DC&#39;s Legends of Tomorrow (TV),John Constantine/Gary Green,John Constantine,Gary Green,Drabble,Drunken Flirting,	'Useless!' John complains as he throws his phone to the other end of the couch. Gary shakes his head and retrieves the phone. John groans, 'No, you're supposed to cuddle with me!'  'Since there's no delivery I'll make you potato skins,' Gary reasons.  John tilts his head back and wrinkles his nose considering.  Gary frown at John's cell. 'I have everything but bacon.'  'I brought some! For breakfast, mine not yours.'  Gary smiles. 'Drunk.'  'Don't leave,' John pouts as he shifts so he can grab Gary's arm.  'Food?' Gary reminds.  'No,' John decides as he pulls Gary into a kiss. 	More Important	100	2	John is not getting what he wants so Gary tries to help. 	2019-02-03	0
27	158	17	Teen And Up Audiences,No Archive Warnings Apply,M/M,Men&#39;s Football RPF,Lionel Messi/Sergio Ramos,Sergio Ramos,Lionel Messi,El Clásico,Humor,Drabble,Missing Scene,	Sergio saw the graffiti of  Cris and Messi  popping up around Barcelona last year. He had a good laugh about it; the artist painted Messi standing on his tiptoes to reach Cris' lips.  Sergio doesn't feel like laughing now when it's  him and Messi  covering the side of the skyscraper above Alduccio's pizzeria right across Real's stadium.  The mural is huge, it's impossible to miss it.  Sergio meets Messi's eyes when they shake hands before the match.  Turning pink, Messi averts his gaze and Sergio knows Messi saw it too.  Smiling lazily, Sergio decides to exploit the offence's unexpected weakness. 	The Mural	100	6	A new mural next to Real's stadium catches Sergio's eye. 	2019-02-02	1
28	23	10	Teen And Up Audiences,No Archive Warnings Apply,Gen,Final Fantasy XV,Cor Leonis,Poetry,Poetry for Eos,Character Inspired Poetry,	It is not the guard's place to outlive his king 	Trium Regum	113	8	A poem on Cor for the FFXVStoryFun Discord Server Poetry Challenge. 	2019-02-02	0
29	23	10	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,Major Character Death,Gen,Final Fantasy XV,Ravus Nox Fleuret &amp; Sylva Via Fleuret,Sylva Via Fleuret,Mentions of Ravus Nox Fleuret,Poetry,Poetry for Eos,	my dear, the world is rotten and grey and dripping black from every pore my dear, there are armies marching from sea to shore, dark and white light and night my dear, they are marching to your door my dear, (and this is a secret, I know), you have always loved the water best: Tidemother defiant, unbowed, unchained my dear (and this too is a secret, one for time to keep): one day, you will not my dear, your heart is kind and full of mercy (another secret: it will be your end) (my dear, your end is also a sword and the son of your body, and greed and grief my dear, your end is a choice - but they are all choices.) (my dear, there is no other choice you would have made.) my dear, you are a light and lights go o u t . my dear, you were never meant to last. 	penultimate	154	3	my dear, the hills are blue with sorrow and fears and tears 	2019-02-02	1
30	24	10	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,Gen,Final Fantasy XV,Kingsglaive movie - Fandom,Tredd Furia,angst in verse form,Poetry,Canon Compliant,	Raindrops of ashes and dust Weep not for the fallen What shall become of you Will the hand of fate favor you? 	Fall of the lost	124	4	From the fall of Galahd to the fall of Insomnia 	2019-02-02	0
31	68	5	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,Gen,Agents of S.H.I.E.L.D. (TV),Phil Coulson &amp; Skye | Daisy Johnson,Skye | Daisy Johnson,Post Season 5,pre season 6,	 Boss. No, too cheap. Too easy. It stinks of bitter coffee grounds and retail name tags. Of an easy nine to five shift, of procedures and processes and nothing in particular. Friend. No. Too vague. A friend could be a yoga buddy or a classmate or someone you talked with at the latest concert.  Associate: What is she, a CEO? A Wal-Mart employee?        Mentor: No. Closer, but no. Too formal. Too academic. It wasn't about a thesis or a twelve-step program. It was life, shaving cream and gunshots and flying cars, a world beyond imagination. Dad: No. She wishes she could, but no. That word was left behind long ago, lost in the trash-bag shuffle between foster homes. It could have been, once, but no. Leader: She followed him everywhere. Anywhere. Any time, into space and the future and other dimensions. 	define	153	0	She tries out all the words, looking for one that fits. Daisy reflects on Coulson's death. 	2019-02-02	0
32	350	14	Teen And Up Audiences,No Archive Warnings Apply,Gen,Holby City,Serena Campbell/Bernie Wolfe,Serena Campbell,Bernie Wolfe,Drabble,Parody,Drinking,	 May 2019       For fucks sake' Serena grumbled, taking out a bottle from the space usually reserved for her beloved Shiraz. ‘I'm going to have to get used to this aren't I?'  ‘I tried it the other day. Give yourself time to try it.'  ‘Fine, fine.' Serena reluctantly poured a couple of glasses and passed one round. They felt too depressed to toast to anything so they looked sadly at each other and sipped.  ‘Well, looks like you'll have to break out the Shiraz for special occasions' said Bernie.  ‘Looks like it. Lucky I've hoarded a healthy stash of it at home. Mind you, this isn't actually that bad.'  ‘Told you so.' Bernie grinned smugly.  Serena turned the bottle around to see the label and studied it for a while. ‘Well now, Mr Rioja, you're not my usual kind of chap but I guess we could get along.'  Fucking Brexit. 	Brexit	149	19	Drinking in the office 	2019-02-02	0
