entry	HITS	KUDOS	TAGS	ID_NUMBER	TEXT	TITLE	WORDCOUNT	MAINTAG	SUMMARY	COMMENTS	DATE	BOOKMARKS
10	97	9	Creator Chose Not To Use Archive Warnings,M/M,Stargate Atlantis,Rodney McKay/John Sheppard,Rodney McKay,John Sheppard,Valentine Day,Banners &amp; Icons,Banners,	17680601	Big size https://image.noelshack.com/fichiers/2019/06/3/1549454730-01.jpg         Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-03.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-04.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-05.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-06.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-07.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-08.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-09.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-10.jpg	Mcshep Valentine Day 2019	120	General Audiences	It's been a while since i did arts. For the next Valentine day, special mcshep.	0	2019-02-06	1
11	37	3	No Archive Warnings Apply,Other,Venom (Movie 2018),Riot,Old lady Riot host,Character Study,gay love can pierce the veil of death and save the day,background symbrock,what was Riot doing for six months though,seriously,Podfic,Podfic Length: 10-20 Minutes,	17679227	"Title: Six Months Missing   Fandom:  Venom  Author:  xzombiexkittenx   Reader:   Litra    Pairing:  gen   Rating:  gen   Length:  10:34  Summary:  Riot lives in the old woman for six months. This is a small piece about their relationship.  "" Good luck with that , she tells Riot.  Seven billion people, supers, gods, and monsters. And you are alien hagfish slime, allergic to oxygen.   Riot doesn't like being insulted. It roars in her head but she's been yelled at before and hasn't been afraid of shouting in a long time. There are much worse things than a raised voice, and the dog that barks the loudest doesn't always bite hardest.    We are not a dog!  Riot snarls.   No,  Alya agrees.  A dog can survive on its own. ""     The original work can be found  Here      Right click to  Download"	Six Months Missing [podfic]	132	General Audiences	"Riot lives in the old woman for six months. This is a small piece about their relationship.  ""Good luck with that, she tells Riot. Seven billion people, supers, gods, and monsters. And you are alien hagfish slime, allergic to oxygen.  Riot doesn't like being insulted. It roars in her head but she's been yelled at before and hasn't been afraid of shouting in a long time. There are much worse things than a raised voice, and the dog that barks the loudest doesn't always bite hardest.   We are not a dog! Riot snarls.  No, Alya agrees. A dog can survive on its own."""	0	2019-02-06	0
12	21	1	Creator Chose Not To Use Archive Warnings,F/M,殺戮の天使 | Satsuriku no Tenshi | Angels of Death (Manga),殺戮の天使 | Satsuriku no Tenshi | Angels of Death (Anime),Isaac &quot;Zack&quot; Foster/Rachel Gardner,Isaac &quot;Zack&quot; Foster &amp; Rachel Gardner,Isaac &quot;Zack&quot; Foster,Rachel Gardner,Angels of Death,	17679212	"""You idiot!"" Ray shouted as she slapped him, tears starting to form in her eyes.  Zack looked shocked. His eyes were wide open, staring at Ray with a concerned look.  Ray didn't give a chance for Zack to respond. She continued.  ""Why did you go out without me?! You know how the police are these days! Posters of you are everywhere, Zack! Anyone could just spot you walking in an alley and report you to the police!""  ""Why're you so stupid?!"" Ray scolded.  ""H-hey Ray..."" Zack walked towards Ray, wrapping his arms around her.  Ray sniffled into Zack's hoodie.  ""Wh-what..""  ""What am I to do i-if you're not around?"" Ray sobbed.  ""How can I take care of myself when you're not here?""  She hugged Zack.  ""I-I'm sorry, alright?"" Zack pushed his nose into her golden hair.  He put his fingers under her chin and lifted her head up so that she was looking at him. He had to say something to lighten up the mood.  He stared into her blue eyes.  ""Wanna get something to eat?""  Ray smiled and nodded.  ""O-of course"	I'm Worried For You	182	General Audiences	A one-shot that I thought of somehow.	0	2019-02-06	0
13	1	0	No Archive Warnings Apply,Lady and the Tramp (1955),Angel (Disney: Lady and the Tramp),Oneshot,Older pet,Rehomed,Post-Canon,	17678804	Angels' chosen to ignore the lack of a collar, bitter as it makes her. They put around her neck a pink ribbon. She's had such before, it's not new. She should feel happy to have it, wag her tail, look cute, but she can't bring herself to.   Everyone around her has a collar, older, younger, they all bear it. She does not.  These people – Jim dear and Darling. They talk to her like a puppy. Like a child. Like she's some young dog. She hates it, bares teeth at it, then is reminded this is her last shot.  Angel doesn't believe a chance will come after this. Angel knows her luck.  She can't go back to Buster now, either.  She hears talk, people speak of money and coins. She's seen the flat, shiny objects, they mean nothing to her or dogs, but she knows they effect how many things a person can have, dogs included.  Still, she feels she should be grateful.  But Angel also feels she can't trust these people.	Not a Pup	171	General Audiences	Idk, felt like writing something for the fandom. Might write more. I don't really like Angel.	0	2019-02-06	0
14	5	2	No Archive Warnings Apply,Gen,Mad Max Series (Movies),Original Characters - Freeform,No Canon Characters Appear,	17678360	Deltas are women, sisters, daughters, Girls with blackened eyes and split knuckles. Deltas break windows, noses, and hearts, Their teeth are crooked, their jeans are torn. Deltas were all cast aside for another, They belong only to themselves now. Deltas are dirty fingernails and bloody noses, Cigarette ash and whiskey breath. Deltas drifted together and held on tight, They scream at the sky over the roaring ocean. Deltas bury past husbands and lovers, They don't step around, they walk right over you. Deltas glare from the dark with shining eyes, A clowder of cats, a pack of wolves. Deltas come and go as they please Don't ask them where they've been. Deltas are hellions and goblins, they are the moon, They are the color red, they are poisonous flowers. Deltas are women, sisters, daughters, Deltas answer to none.	Deltas	138	General Audiences	A sort-of poem about an all female bikie gang making their own rules on the Transcon One.	2	2019-02-06	0
15	6	1	No Archive Warnings Apply,F/F,Deus Ex: Invisible War,Alex Denton/Billie Adams,Billie Adams,Regret,suppressed longing,Femslash February 2019,Ficlet,	17677109	The red candles burn heavy in the main halls. The wax spills over and sears her hands. It chokes with the sting but it at least it keeps her present. At least it keeps her away from those other times. Keeps her from drowning in the memories.  Sneaking to Alex's quarters. Laying her head down in Alex's lap. Alex reading out the latest chapter of her latest shitty romance novel.    Alex, when she believed in happy endings.  Alex never understood, though. There's only ever been one gift you can give someone you love.  And when the time comes-  She jumps.	icarus	110	General Audiences	Alex believed in happy endings, once.	0	2019-02-06	0
16	34	1	Creator Chose Not To Use Archive Warnings,Newsies - All Media Types,Racetrack Higgins,David Jacobs,Jack Kelly,Kloppman,	17676974	David hadn't made up his mind on what to think of Racer. The other guys seemed to have warmed up to him, but Racer was a mystery.  He hoped that would change, but the strike had been over for a couple of weeks and he still was no closer to the blonde.  'I really should go home.' David told Jack, even as he followed the other boy to the Boarding House.  'Nonsense!' Jack replied, 'Stay for a bit.  We've all been to yours, but you've been been to where we live.'  David didn't bother arguing as Jack pulled him into the building.  'Kelly, you're later than usually,' Mr. Kloppman greeted. Turning his gaze to David, he asked, 'Who's the boy with the big head?  He looks like a toothpick with a watermelon on top of it.'  Racer, who had been coming down the stairs, burst out laughing.  When he noticed the blank looks on Jack and David's face, he asked, 'Are we going to pretend that wasn't funny?'  'Were are you going?' Jack asked as the blonde headed back to the door.  'I'll be back by bell.' was all the younger boy said before closing the door behind him.	Mystery	199	General Audiences	David feels like he knows all the boys pretty well, with the exception of Racer.	0	2019-02-06	0
17	48	1	Creator Chose Not To Use Archive Warnings,F/M,Harry Potter - J. K. Rowling,Hermione Granger/Oliver Wood,Hermione Granger,Oliver Wood,Fred Weasley,George Weasley,	17676041	Fred and George were leaning against the wall of the parlor in Grimmauld Place, watching as Hermione spoke to Oliver Wood on the other side of the room.  She looked amazing, so much lighter than did with the pressure of of school and the war on her.  'I don't get it,' George took a gulp of his fire whiskey, 'two red-headed gods and she picks Oliver Wood.  Maybe she feels sorry for him'  'No,' Fred replied as Hermione threw her head back, laughing at whatever the rising Quidditch star had said, 'she doesn't know him the way we do.'  'She looks happy.' George responded, 'Happier than I've ever seen her.'  'Well, she no longer has to get Ronald passing grades.' Fred laughed dryly, 'They look good together.'  'We gotta make sure he doesn't screw this up.'   'That's asking a lot,' Fred grinned, 'Remember the last one?'  'None of his past girls were anywhere close to Hermione's caliber. She's special, unique.'  'Terrifying.'  'Beautiful.'  'Intelligent.'  'Funny.'  'Everything he could want.' Fred nodded, 'Yup, he will definitely need our help.'  'Tomorrow.' George responded, the twins watching as Hermione left the room and Oliver followed right her.	Tomorrow	193	General Audiences	The twins decide that Oliver will need their help when it comes to starting and maintaining a relationship with Hermione.	0	2019-02-06	0
18	42	3	Creator Chose Not To Use Archive Warnings,F/M,M/M,Newsies - All Media Types,Spot Conlon/Racetrack Higgins,Jack Kelly/Katherine Plumber,Spot Conlon,Racetrack Higgins,Jack Kelly,katherine plumbler pulitzer (mentioned),	17675612	Jack couldn't believe it had come to this.  He had never needed relationship advice.  Ever.  But he had somehow managed to snag a date AND maintain a relationship with Katherine Pulitzer and he had no idea what to get her for Valentine's Day, which is how he ended up at Spot and Racer's apartment.  'Spot once gave me a five-pound box of candy on Valentine's Day anonymously.' Race said, pouring a cup of coffee.  'I never sent you a five-pound box of candy.' Spot's forehead creased in confusion.  'You didn't?' Race turned to face his long-term boyfriend.  'No.' Spot glared at his coffee cup, 'I didn't.'  'Then I must be engaged to the wrong man.' Race smirked, laughing brightly as Spot turned his glare to the blonde.  Turning back to Jack, he said, 'As long as it comes from your heart, she'll love it.  My favorite gift Spot ever gave was the song that he wrote for me.  Just think about it.'  Jack was silent for a minute before it dawn on him.  He shouted a quick goodbye before he ran out of the apartment.	From the Heart	185	General Audiences	Jack doesn't know what to get Katherine for Valentine's Days and, for some reason, thinks that Spot and Race will be helpful.	0	2019-02-06	0
19	7	1	Creator Chose Not To Use Archive Warnings,Original Work,Don&#39;t Read This,	17675366	It's late in the evening. You wake up and find a gun in your hand. There is a note lying next to you that says you if you kill yourself you will be sent to a magical world. What will you choose?!   You decide its a prank and simply take a nap  You put the gun to your head and pull the trigger	Playing around with html and ao3 work skins	155	General Audiences		0	2019-02-06	0
20	12	0	Creator Chose Not To Use Archive Warnings,Newsies - All Media Types,Racetrack Higgins &amp; Jack Kelly,Racetrack Higgins,Jack Kelly,Jack is a mix of AOC and Beto,Race is a political genius,	17674919	Race took a minute, absorbing what Jack had just said, leaning back in his chair as he took a sip of his coffee.  Jack had asked to meet him at the local coffeehouse, he had something to discuss with him.  When they sat down, he laid out his plan. He was going to run for Congress as an unapologetic progressive, he just needed Race's help.  'So,' Jack leaned forward, looking for any sign of what the blonde was thinking, 'What do you say?'  'I think you should.' Race nodded, 'I think ambition is good. I think overreaching is good.  I think giving people of vision of government that's more than social security checks and debt reduction is good.  I think government should be optimistic.'  'So I can count on you?' Jack asked, 'If I'm gonna succeed, I need your help.'  'I'm in.' Race nodded, 'Do you have others in mind or do you need me to recruit?'  'You're the one with the connections in politics.' Jack replied, 'I trust your judgement.'  Race nodded, already making the list of what they needed and who was best to do it.	Make a Run for It	188	General Audiences	Jack decides to run for Congress and needs Race's help.	0	2019-02-06	0
21	97	4	No Archive Warnings Apply,Gen,Steven Universe (Cartoon),Yellow Diamond (Steven Universe),	17674496	No one expects Yellow to be  soft . She's a Diamond, after all Yet, Yellow is particularly... prickly. She's in charge of their armies and the defense of their empire. She has no use for small talk or wasted time. Only with her fellow Diamonds did she bend even a little. These days, that meant she only had Blue. Pink was... gone and White might as well be, with the way she stayed in her head. Even all these millennia later, Blue still found pretexts to shirk her duties so she could go and mourn Pink. This time, Yellow found Blue at Pink's Zoo. In her efforts to talk Blue into getting rid of the last vestiges of Pink, Yellow's own grief and guilt overcame her for a moment. If not for their Pearls, Yellow might have let herself give in to those feelings. Instead, she pushed them away, like she always did.	Feelings	152	General Audiences	Sharp is one way to describe Yellow Diamond.	0	2019-02-05	0
22	26	1	Major Character Death,F/M,Buffy the Vampire Slayer (TV),Rupert Giles/Buffy Summers,Buffy Summers,Rupert Giles,Forbidden Love,Possibly Unrequited Love,Secret Crush,Older Man/Younger Woman,Drabble,	17674331	He said he'd help her. Giles had looked her in the eye and swore that he would do what he could, but, when Buffy felt herself slipping away, as she'd floated above herself, looking down at her lifeless form, so small and fragile, she didn't see Giles anywhere. He was her Watcher, her protector, he was meant to be by her side, but, in her final moments, he had been locked away in some dusty library with some dusty books and she had died alone, without his warm, tender embrace. She hadn't even got the chance to kiss him goodbye.	Near Death Experience	100	General Audiences	He said he'd help her.	1	2019-02-06	0
23	58	3	Creator Chose Not To Use Archive Warnings,M/M,Newsies - All Media Types,Spot Conlon/Racetrack Higgins,Racetrack Higgins &amp; Jack Kelly,Racetrack Higgins,Jack Kelly,Spot Conlon (Mentioned),	17674262	Jack had set his mind to his task, taking a deep breath and bracing himself for the argument that was sure to come as he opened the door to Racer's room.  'Hey,' he greeted, getting his foster brother's attention.  'Knock much?' Race replied, not looking up from his history textbook.  When Jack didn't leave, he sighed and closed the book, 'What's on your mind?'  'What are you doing with Spot Conlon?' Jack spit out.  'Why do you care?' Race raised an eyebrow, keeping his relaxed position.  'He's at the top of my crumb list!' Jack exploded, 'In fact, he's at the bottom of my crumb list, too.  And he's every crumb in between!'  'Just because you don't like him, doesn't mean I can't spend time with him.' Race shot back, glaring at the older boy, 'You don't control me.'  'Tony, he's not a good guy.' Jack pleaded.  'Maybe that's my decision to make.' Race shot back, re-opening his textbook, he said, 'You can go now.'  Jack opened his mouth to argue but thought better of it, closing the door behind him and heading back to his own room.	Crumb List	188	General Audiences	Spot and Racer start flirting and Jack is not pleased.	0	2019-02-05	0
24	31	2	Major Character Death,F/M,Undertale (Video Game),Frisk/Sans (Undertale),Sans (Undertale),Frisk (Undertale),Alternate Universe - Flowerfell (Undertale),overgrowth,i suck at tags sorry,Ship shit,sad stuff,pure angst,I wrote this instead of doing my homework,Frisk Is Dead,im sorry,	17674163	How he would give anything to be with his angel again, to see their beautiful, smiling face again. But that was impossible, wasn't it?      They were dead. They died in his arms.     Golden flowers. Frisk's grave. Sans visited this place every day. He cried, poured out all his heartache to the flowers. Sans suspected he was going insane.     ...come back...     Sans stared at the glistening flowers that hid his sweetheart 's lovely face from him. He couldn't help but blame them. The flowers. They took everything away from him.     …     'knock… knock.' His baritone voice creaked from disuse. As if they would answer. Buttercups swirled around him.  At the back of his mind, a high, childish voice echoed,  Whos there?  Laughter.     He missed them so much. His angel, his queen. His sweetheart.     'flower.' Maybe his mind really was gone forever.     ...     Flower, who?     'flower you today?' Sans paused, his sobs coming in short gasps.     '… sweetheart…?'     And Frisk laughed.     ...please…    And Sans knew, whatever happened, his wish would always be the same.     ...come back...     He would trade all his tomorrows for one more yesterday.     ...please...	Sanity	182	General Audiences	Frisk is dead.  The ending of Overgrowth broke my soul. Now it can break yours!	0	2019-02-05	0
25	6	0	Creator Chose Not To Use Archive Warnings,Lost &amp; Found Music Studios (TV),Luke,Rachel,Maggie,John,Theo,James,Theo has a little crush,	17674151	Luke sat there with an expectant look as his bandmates blinked back at him.  'Home videos don't sound like an awful idea.' Maggie tried to be helpful.  Everyone groaned as Luke lit up, 'Any monkey can shoot a home movie.  I pride myself on shooting home films.'  The other band members shot pleading looks to Rachel, who sighed as she set her pencil down.  Sitting down next to Luke, she patted his hand, 'Yeah, but honey, you always just take things a little too far.'  'No, I don't.' Luke laughed.  'Okay,' Rachel nodded, 'Your nephew's first birthday.'  'That's not fair.' Luke frowned as Theo and John tried to hold in their laughter.  'You brought a wind machine.' Rachel fix him with a look.  'To be fair, my vision was-' Luke tried to defend his decision.  'Honey,' Rachel tucked her hair behind her ear and took his hand, 'You brought a wind machine.'  'Who puts wheels on a crib?!' Luke exclaimed, his eyes wide and Rachel got up and went back to her homework, Theo watching her walk away.  'So,' John pressed forward, 'who has another idea?'	Home Films	186	General Audiences	Luke has a vision and the guys need Rachel to burst his bubble.	0	2019-02-05	0
26	4	0	No Archive Warnings Apply,F/M,Phantom Thread (2017),Alma Elson/Reynolds Woodcock,Alma Elson,Drabble,Superstition,Curses,During Canon,Community: 14valentines,Dysfunctional Relationships,Female Protagonist,	17674070	She touches the dress.  He will never ask her – Alma doesn't need to hear it. The dress needs to be finished. Cyril sat up all night to help him finish his first. Cyril, who since never married.   She  made sure Reynolds will be staying abed tonight. The girls need every pair of hands they can get. He is asleep. Her hands are needed.  He will never want to marry. Alma will keep him nonetheless. Her own hands ensured it. Her own hands – hands that are now helping Pippa's girls. She doesn't believe in the superstition anyway.   She touches the dress.     .	Temerity	100	General Audiences	She who lays hand on the dress will remain unwed forevermore.	0	2019-02-05	0
27	48	6	Creator Chose Not To Use Archive Warnings,M/M,Newsies - All Media Types,Spot Conlon/Racetrack Higgins,Racetrack Higgins,David Jacobs,Katherine Plumber Pulitzer,Mush Meyers,Albert DaSilva (Newsies),Spot Conlon (Mentioned),	17673992	Racer plopped down in his usual seat in first hour American Lit, looking like he just rolled out of bed.  'You okay, Racer?' David asked, raising an eyebrow at the usually talkative Italian boy.  'We had no caffeine in in the house this morning.  Not even soda.  How am I supposed to be awake with it?!' Race replied before trailing off and mumbling in Italian.  'Surely it's not THAT important.' Katherine replied, still getting used to the group of boys she had befriended.  'I love it more than anything.' Racer replied, his voice flat and face more serious than Katherine had ever seen it.  'What about Spot?' Mush laughed.  'I love espresso, coffee, caffeinated teas, and Spot.  In that order.' Race replied.  Seeing the looks of disbelief on friend's faces, he added, 'He know!'  'Got your text.' Albert slid into his desk next to Racer, setting the large coffee in front of the other boy.  'This is why you're my favorite.' Race grinned at the redhead.	Caffeine	166	General Audiences	Race loves caffeine more than anything.	1	2019-02-05	0
28	28	0	Creator Chose Not To Use Archive Warnings,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,just a dumping ground,	17673662	Quirk: Reality Sphere  I actually got this idea from Soul Eater and Fullmetal Alchemist. Said person can make a sphere and change anything in that area, like take away their quirk, or disable a limb, but said person has to do the same thing to them. I'm actually using this for one of my OC's, and she has trained herself to fight blind. Limited space in the sphere and they have to fight close range. Just a temporary, not permanent disablement. Only change one thing at a time, but can change it as much as she wants. Can also cause organ failure if their not careful.   This one is by Lilyhybrid	Random Quirks	111	General Audiences	Random quirks I and others come up with. I'm not crediting her cause she doesn't have an account, but these are ours. This is honestly just a dumping ground for things. I don't care if you use the ones made by me, but I'll put labels on the ones you can't use.	0	2019-02-05	0
