entry	HITS	KUDOS	TAGS	ID_NUMBER	TEXT	TITLE	WORDCOUNT	MAINTAG	SUMMARY	COMMENTS	DATE	BOOKMARKS
10	15	2	No Archive Warnings Apply,M/M,Naruto,Deidara/Sasori (Naruto),Deidara (Naruto),Sasori (Naruto),Angst,Drabble,I Wrote This Instead of Sleeping,I Will Go Down With This Ship,Angst and Feels,Angsty Schmoop,Short &amp; Sweet,Sad,	17908763	Love, for Akatsuki's Artist duo, was very much like their art.        Art for Akasuna no Sasori is something that lasts forever.  	Beliefs	141	General Audiences	Turns out, both Sasori and Deidara were correct. 	0	2019-02-24	0
11	35	0	No Archive Warnings Apply,Gen,Game of Thrones (TV),A Song of Ice and Fire &amp; Related Fandoms,Sansa Stark,Jaime Lannister,	17908214	"As Sansa watched Ser Jaime enter the gates, she noticed that he did not wear the garb that would have proclaimed him for all to see as a Lannister and member of the Royal Guard.  He was dressed plainly, in simple armour and a dark cloak, likely to disguise him on such a perilous journey alone in foreign territory.   But he seemed different now; even humbled.   And when he removed his gloves, much to her shock, she saw that his right hand, his sword hand, had been replaced with one of gold!       "" H  ow are the mighty fallen  ,"" she despaired, recalling the Bible verse; and she felt a conflicting sympathy for him. "	Girl of the North Country	112	General Audiences	 	0	2019-02-24	0
12	2	0	No Archive Warnings Apply,Gen,Superman: The Animated Series,Kara In-Ze,Amos Howell,Episode: s03e17 Unity,Drabble,	17907482	I never created Superman TAS.          Worry filled Kara's eyes after she wandered Smallville for hours. She found herself in a barren area. Kara began to smile. *I'll just fly home* she thought. A new frown materialized on her face after a preacher appeared. She saw long hair with dark garments and a hat.  The preacher smiled before he nodded. ''Reverend Amos Howell.''  There was something about Reverend Amos Howell that caused Kara to tense. She viewed a smile stretching. Revealing long teeth. She stepped back.  ''You're far from home?'' Reverend Amos Howell wished to know. Kara's grave was also going to be far from home.    THE END 	Far From Home	107	General Audiences	Drabble. Worry filled Kara's eyes after she wandered Smallville for hours. 	0	2019-02-24	0
13	2	0	No Archive Warnings Apply,Gen,Superman: The Animated Series,Amos Howell,Kara In-Ze,Drabble,Episode: s03e17 Unity,	17907458	I never created Superman TAS.                   Tedious farm chores were why Kara frowned before she approached Jonathan and Martha Kent in a kitchen. Her eyes widened as soon as she viewed a man standing near Jonathan and Martha Kent in the kitchen. They settled on the man's long hair, dark eyes, preacher outfit, etc.  Jonathan turned to Kara and smiled.''This is Reverend Amos Howell. He's here to preach about unity.''  Reverend Amos Howell smiled and nodded at Kara. He viewed her sitting.  Kara heard a strong accent. Southern? Kara struggled to remain awake as Reverend Amos Howell preached. She looked forward to tedious farm tasks.    THE END 	The Visitor	107	General Audiences	Drabble. Tedious farm chores were why Kara frowned before she approached Jonathan and Martha Kent in a kitchen. 	0	2019-02-24	0
14	1	0	No Archive Warnings Apply,Gen,Superman: The Animated Series,Amos Howell,Episode: s03e17 Unity,Drabble,	17907425	I don't own Superman TAS characters.                  Frowning, Reverend Amos Howell wandered Smallville for what seemed like hours. Not one person was present for him to lure. Not one person was able to hear about how wonderful unity was. Mostly the master of Reverend Amos Howell.  Many people gathered around a picnic table. Reverend Amos Howell smiled from ear to ear. There were plenty of people to lure for Unity. Treats for Unity.  After approaching the table, Reverend Amos Howell saw a slice of chocolate cake on a plate. He shrugged and ate a bit. He smiled again and ate everything. A treat for Reverend Amos Howell.    THE END 	One Treat	108	General Audiences	Drabble. Frowning, Reverend Amos Howell wandered Smallville for what seemed like hours. Not one person was present for him to lure. 	0	2019-02-24	0
15	1	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Drabble,Episode: s01e27 The Underdwellers,	17907362	I never created Batman TAS.   The Sewer King began to smile after a pet alligator approached him. He laughed in a gentle tone as he scratched its snout.  ''I recall remaining near you recently. I recall my tears. Yes. Yes. Yes. Yes,'' he said.  The Sewer King also remembered viewing his sick pet writhing. Suffering with it.  The Sewer King continued to scratch the alligator's snout. He refused to remember sobbing any longer. He viewed the alligator's tail wagging. The Sewer King laughed another time. ''You always wagged your tail as I scratched your snout. Yes. Yes. Yes. Yes. Just like when you were alive.''   THE END 	The Animal	107	General Audiences	Drabble. The Sewer King began to smile after a pet alligator approached him. He laughed in a gentle tone as he scratched its snout. 	0	2019-02-24	0
16	1	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Drabble,Episode: s01e27 The Underdwellers,The Sewer King&#39;s nice family,	17907347	I never created Batman TAS.   Wendell smiled and wrapped his arms around a new stuffed alligator. He continued to smile with his happy parents. A wonderful birthday. Many years later, Wendell scowled and wandered the streets. He remembered standing near his sick parents before their lives ended recently.  A previous scowl. Wendell smiled when a woman walked by. A pocket to pick. His eyes widened after a young man attacked him.  Wendell fled to a sewer and was never located. He eventually found orphans. He became their king.  Children eventually returned from picking pockets. Alligators approached the Sewer King. He smiled. A new family reunion.   THE END 	The Family Reunion	107	General Audiences	Drabble. Wendell smiled and wrapped his arms around a new stuffed alligator. He continued to smile with his happy parents. A wonderful birthday. 	0	2019-02-24	0
17	1	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Episode: s01e27 The Underdwellers,Drabble,	17907329	I never created Batman TAS.   Children exchanged glances as the Sewer King scowled at them. They remembered him always yelling if they returned with very few pretties.  They viewed the Sewer King's new tears after one of his pet alligators died due to old age.  The alligator's spirit faded into view. It watched as the Sewer King and his children stepped back with wide eyes. It remembered always viewing the Sewer King's scowl if his children returned with a few pretties or zero valuables at all. The spirit began to snarl at the orphans. Its tail wagged after children ran and the Sewer King smiled.    THE END 	One Spirit's Revenge	107	General Audiences	Drabble. Children exchanged glances as the Sewer King scowled at them. They remembered him always yelling if they returned with very few pretties 	0	2019-02-24	0
18	1	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Drabble,Episode: s01e27 The Underdwellers,	17907302	I never created Batman TAS.   Frowning, the Sewer King stood near a grave marker. He remembered when the sick pet alligator died recently. Another midnight.  ''You won't suffer again. I won't suffer again.'' He turned and abandoned the grave marker.  The Sewer King walked to a table. A new smile replaced his frown. He lifted a plate with a chocolate cake slice and a fork on it.  The Sewer King remembered every smile with the alligator for every midnight. Every tear he revealed after the alligator's demise.  His smile remained as soon as he ate a bit. One midnight snack. Yet another midnight. Another smile.   THE END 	Another Midnight	107	General Audiences	Drabble. Frowning, the Sewer King stood near a grave marker. 	0	2019-02-24	0
19	2	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Episode: s01e27 The Underdwellers,Drabble,	17907272	I never created Batman TAS.              A girl's eyes were wide as she ran in the sewer. She remembered the Sewer King scowling at her hours ago. Ordering her to obtain lots and lots of pretties. The girl also recalled his pet alligators always wandering below the streets. She glanced at a few bracelets on her palms. A smile formed. Perhaps the Sewer King wasn't going to scowl for some time.  The girl had to hurry. After remembering a shortcut, she ran into another area. Footsteps caused her to gasp. Alligators?  Another smile after other children appeared with lots of pretties. The girl followed her friends.    THE END 	The Shortcut	107	General Audiences	Drabble. A girl's eyes were wide as she ran in the sewer. She remembered the Sewer King scowling at her hours ago. Ordering her to obtain lots and lots of pretties. 	0	2019-02-24	0
20	1	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Tears,Episode: s01e27 The Underdwellers,	17907251	I never created Batman TAS.            The Sewer King scowled and trembled at the same time. He focused on a pet alligator's grave marker. Although the alligator lived a long life, its grave marker caused him to suffer. The Sewer King remembered his tears and every sob after the alligator never woke up recently. Hands formed fists at either side of his body. *At least you won't suffer again. You won't. You won't.* The Sewer King shrugged. *You're not far. The grave is a bit close to my throne under the streets* he thought. One corner of the Sewer King's mouth ascended. At least it tried to ascend. There wasn't a smile. Perhaps never again. Eyes widened as soon as the alligator's spirit faded into view. The Sewer King stepped back slowly. He began to blink after the spirit's tail wagged. A new smile materialized. Tears streamed down the Sewer King's face. He nodded. ''I understand.'' The spirit vanished. It was always going to be happy and never far from the Sewer King.   THE END 	If You're Never Far	174	General Audiences	The Sewer King scowled and trembled at the same time. He focused on a pet alligator's grave marker. 	0	2019-02-24	0
21	1	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Episode: s01e27 The Underdwellers,	17907209	I never created Batman TAS.   The Sewer King began to smile after he ate a chocolate bar. It was a good evening so far. He was near four pet alligators and scratched their snouts recently. The Sewer King remembered sending his children to steal lots and lots of pretties a few hours ago. A rare smile near his children as soon as they returned with several valuables. The other memory?  Children weren't always able to return with lots and lots of pretties for their king. The streets of Gotham City were barren sometimes. Barren just like pockets they tried to pick. Barren just like their hands after they returned to the Sewer King.  At least children were able to steal chocolate recently. The Sewer King's smile remained before he began to rest near alligators. He watched as they imitated him. His head was on one alligator's back. He was on one side of his body. His eyes widened.  A memory of children returning with empty hands formed again. One new scowl appeared on his face. The Sewer King couldn't rest for the remainder of the evening. Even while he was with pets.   THE END 	Our Evening Together	194	General Audiences	The Sewer King began to smile after he ate a chocolate bar. 	0	2019-02-24	0
22	1	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Episode: s01e27 The Underdwellers,Tears,	17907197	I don't own Batman TAS characters.     ''You lived a long life,'' the Sewer King said as he frowned. He focused on a grave marker under the streets. A memory formed. A memory of remaining with a pet alligator recently. One previous scowl. His tears prior to the alligator shutting its eyes and never opening them due to old age.  The Sewer King revealed new tears near the grave marker. He struggled to smile. ''I remember being with you after entering the sewer a few months ago. I recall you protecting me from others wishing to harm me. Perhaps end my life. At least you don't care if I pick pockets to survive. We're destined to remain under the streets.''  The Sewer King recalled feeding the pet alligator bits of chicken occasionally. One gentle laugh as he scratched its snout. As the alligator's tail wagged. The Sewer King also remembered a different laugh while the alligator licked his face.  One alligator's grave was always going to be under the streets. The Sewer King remained under the streets. He began to sob and reveal tears under the streets.    THE END 	Under Streets	188	General Audiences	''You lived a long life,'' the Sewer King said as he frowned. He focused on a grave marker under the streets. 	0	2019-02-24	0
23	27	4	No Archive Warnings Apply,M/M,Baseball RPF,Sports RPF,Mitch Moreland/Xander Bogaerts,Mitch Moreland,Xander Bogaerts,Alternate Universe - No Girlfriends/No Wives,Established Relationship,Parenthood,Domestic Fluff,Future Fic,Ficlet,	17906588	At the end of another long day, Mitch and Xander crawled into bed but it wasn't long before both men were awakened by the cries of their baby daughter. Feeling the bed dip with the shift of weight, Mitch gently pushes his husband back onto the bed.  'Go back to sleep, babe. I'll go take care of her.', Mitch murmurs before leaning in to kiss Xander's temple. Once up and out of bed, he makes his way into their daughter's room and picks her up out of her crib.  'Hey pretty girl. Daddy's here.', he murmurs, kissing her tiny cheek. Setting her on the changing table, he gets her into a clean diaper. Once she's all clean, he picks her back up and heads into the kitchen to make her a bottle.  After she's fed, Mitch puts her back to bed before heading back into the bedroom. Crawling under the covers, he wraps his arms around Xander's waist and pulls him close, kissing his forehead. 'Love you, Mitch.', Xander mumbles, voice thick with sleep. 'Love you too, Xan.', he murmurs before drifting off to sleep. 	Right where I'm supposed to be.	185	General Audiences	Everything in Xander's life is finally falling into place. He's got an amazing husband and the perfect baby girl. Nothing will ever feel better than this. 	1	2019-02-24	0
24	61	14	No Archive Warnings Apply,Thomas Sanders,Sander Sides,Sanders Sides (Web Series),Video Blogging RPF,youtube - Fandom,Real Person Fiction,Morality | Patton Sanders - Character,Logic | Logan Sanders - Character,Anxiety | Virgil Sanders,Tide Pods,Logan is savage,	17903639	Patton frowned as he stared longingly at the little packets of laundry detergent on the counter top. 'It's not fair!' he wailed. 'Hmm?' hummed Logan making it sound like a question, not bothering to look up from what he was reading. 'They make tide pods so cute and so bright and colourful – just like little candies. But I can't eat them ☹ It's just not fair.' Virgil looked over at Patton as his lower lip quivered as he stared at the pods and wondered;  How did he just verbalise a frowny face???  'You can eat them once.' said Logan flatly. 'Wha-  really ?!?' 'Only once. Because you won't be around for a second time.' 'Huh?' said Patton confused. Virgil's eyes widened; 'Logan no!  Savage! ' and he quickly snatched all the tide pods off the table out of Patton's reach. 	Only Once	137	General Audiences	Patton wants to eat the delicious looking tide pods. 	5	2019-02-24	0
25	13	1	No Archive Warnings Apply,M/M,D.Gray-man,Lavi/Allen Walker,Allen Walker,Lavi (D.Gray-man),Domestic Fluff,I Wrote This Instead of Sleeping,I Will Go Down With This Ship,i literally cant write,but have fun anyways,i did this to harass my friends,	17902481	A soft piano melody flows within the simple white room, echoing off the walls and encompassing the area with a calming background noise. Two individuals have taken residence, the red haired bookman jr, Lavi enjoying the calm with a novel, embracing his white haired companion Allen, who has taken residence at the radiant white piano in the center of the room.  After a recent mission had gone out of hand, with the arrival of a horde of level three akuma, both exorcists had been forced to rest and allow their injuries to heal. So, this day had been designated as a 'lazy day,' with the two exorcists simply enjoying eachothers company without the stress of any other day. A lazy day with no akuma, no central, no link, and no missions. Just one another. Both exorcists were perfectly happy that way. 'You promise you'll stay with me?' 	When all His Feathers are from Him	148	General Audiences	When given the chance, there is no place they would rather be than with eachother. 	0	2019-02-24	0
26	10	2	No Archive Warnings Apply,F/M,American Dad!,Jeff Fischer/Hayley Smith,Roger (American Dad!),Hayley Smith,Jeff Fischer,Francine Smith,Fluff,mostly - Freeform,Drabble,	17901932	Jeff does something with a banana peel. Hayley laughs until tears spring out. Roger watches from the window, puffing at his cig every few minutes.  The elopement is inevitable. He can see it in Jeff's eyes; he can see it in Hayley's smile. He saw the same smile so many years ago upon his own face.  Hayley takes another long, slow, safe swim in the pool. Jeff watches with such love and care.  Francine offers them another glass of lemonade, her summer specialty. Jeff sips it down in a few seconds and accidentally calls Franny 'Mom.'  They don't tell Stan. 	Inevitable	100	General Audiences	Roger watches and watches 	0	2019-02-24	0
27	28	5	No Archive Warnings Apply,M/M,Hellboy (Movies),Hellboy/John Myers,Hellboy (Hellboy),John Myers,Gay,Demon/Human Relationships,Rare Pairing,Hellboy destroying shit as usual,John cleaning up behind him as usual,365 Days of Fandoms,	17901875	"10: 'I don't know why I married you.'   ""I don't know why I married you."" John sighed out as he watched as the clean up crew tried to fix up yet another location that Hellboy destroyed.  ""I said I was sorry boy scout. Beside the guy did most of the damage anyway.   John turned to fix Hellboy with an glare, ""Because you throw or shot him through everything! Dammit Hellboy how did you even destroy the whole building! The fight was underground!""    ""Hey I got the guy though that's all that really matters, here right.""  ""I want a divorce."" John muttered he watched the only remaining half of the building to crumble to the ground.   ""Boy scout come on!"" Hellboy yelled as he followed after his small husband.   "	10: 'I don't know why I married you.'	128	General Audiences	 	0	2019-02-24	1
28	10	3	No Archive Warnings Apply,M/M,Kim Possible (Cartoon),Josh Mankey/Ron Stoppable,Ron Stoppable,Josh Mankey,365 Days of Fandoms,Gay,Fluff,Rare Pairings,	17901641	"6: ""Scary movies are for chumps.""  ""Are you sure?"" Josh asked for the third time as he and Ron stood before the entrance to the movie theater. Normally Josh wouldn't question Ron on his choices but right now his boyfriend didn't seem to thinking clearly enough.  ""Of course I'm sure. I'm Ron Stoppable nothing scares me.""  ""You fell off the bed when Rufus jumped you this morning."" Josh reminded the blond.  Ron scoffed, ""I was pretending to be scared. It helps out with Rufus's self-esteem."" Josh raised his eyebrow as Rufus started complaining loudly but made no step to say anything else against the subject.  ""Fine. Let's go watch Return of the Swamp Monster Three: Never Trust A Swamp.""  ""Scary movies are for chumps. Scary movies are for chumps. Scary movies are for chumps."" Ron muttered his breath for the eighth time as took a sneak glance from his position. The blond was currently halfway into Josh's lap, face buried in his shoulder jumping at everything.  ""I'll tell you when it's over babe. Just relax.""  ""I'm not scared! I'm Ron Stoppable--ahhhh!""  ""Yup your not scared at all."" "	"6:  ""Scary movies are for chumps."""	188	General Audiences	 	0	2019-02-20	0
29	59	10	No Archive Warnings Apply,M/M,Teen Wolf (TV),Derek Hale/Stiles Stilinski,Derek Hale,Stiles Stilinski,Pack Parents,The Hale Pack - Freeform,Pack Mom,Pack Mom Stiles Stilinski,Pack Dad Derek Hale,The pack are Stiles babies,Implied Mentions of the Pack,Featured Characters,365 Days of Fandoms,	17901536	"5: ""I heard a noise.""  'Can someone explain to me again why I had to search the house with one of our kitchen knives?' Derek Hale demanded as he finished his third search, joining the rest of his pack inside the kitchen.  'I heard a noise.' Stiles answered evenly before ushering his pups back to their respective rooms. Once gone Stiles turned back to his Alpha Mate, 'I wanted to make sure the kids were okay.'  'You do know this is a house filled of werewolves.'  'Don't forget the lizard/wolf hybrid, siren, chameleon, chimera, kitsune, werecoyote, and hunter.'  'Stiles.'  'What? I wanted us to be safe.'  Derek sighed, 'Stiles if we were in any danger, I would know.'  'I don't know about that Sourwolf, you're getting up in that age.'  'Stiles!'  ""What? Did I say something wrong? Hey! Hey! Do not walk away from me, Derek Hale! Derek!"" "	"5: ""I heard a noise."""	149	General Audiences	 	0	2019-02-19	0
30	17	2	No Archive Warnings Apply,M/M,방탄소년단 | Bangtan Boys | BTS,Kim Namjoon | RM/Kim Seokjin | Jin,Kim Namjoon | RM,Kim Seokjin | Jin,Gay,Mentions of Horror Movie,Kim Seokjin | Jin is So Done,Kim Namjoon | RM Is Whipped,365 Days of Fandoms,	17901452	3: 'I swear, I'm not scared.'  'I swear, I'm not scared.' Jin muttered for the sixth time. The blond said his words with pride but made no move to remove his face from Namjoon's shoulder blade. His fingers hooked onto the board shoulders tightly as Namjoon lead the two of them through the haunted house. Namjoon rolled his eyes not because of Jin being scared but because his boyfriend was the one who picked to go through the haunted house instead of doing something else at the fair.  'Hyung—'  'BOOOO!' One of the actor yelled popping around the corner with his realistic yet fake chainsaw.  'AHHHHH! JOOONNIE!' Jin shrieked.  'Yes hyung, your not scared at all.' 	3: 'I swear, I'm not scared.'	116	General Audiences	 	0	2019-02-17	0
31	28	5	No Archive Warnings Apply,M/M,due South,Benton Fraser/Ray Kowalski,	17901341	Ray stood in front of the sink and was elbow deep in warm, soapy water. He didn't usually do the dishes, but sometimes he had the urge to clean. He picked up Fraser's small ass teacup and smiled as he washed the white porcelain.  He used to feel like a real zero. He had lost his parents and then Stella divorced him. He took the Vecchio gig because being anyone else was better than being himself. He was a real loser.  Then he met Fraser.   As first he thought Fraser was a freak, but as he got to know him, he realized that Fraser was just different. They were both different and the worked like a finely tuned engine.  He hadn't known who he would be without Fraser, but he knew he was better with Fraser.  Speaking of Fraser, he came up behind Ray and wrapped his arms around Ray's waist. Ray grinned as Fraser's lips brushed his neck.  He no longer felt like a loser or a zero, but he was a winner and a ten.  Fraser understood him and he understood Fraser in way that always made Ray smile.  He would never understand Fraser's obsession with curling though. 	Zero	200	General Audiences	Ray used to feel like a zero 	0	2019-02-24	0
32	4	0	No Archive Warnings Apply,F/F,World Wrestling Entertainment,Lisa the Security Guard (Professional Wrestling)/Original Female Character(s),Lisa the Security Guard (Professional Wrestling),Original Female Character(s),SecurityWolf,Sleeping Together,	17900933	The first time Flick woke before Lisa she had smiled, pressing a soft kiss to Lisa's shoulderblade and letting her nose nudge into the shallow dent that marked where Lisa's spine was, her smile content even as she went back to sleep, her grip tightening only when she felt Lisa shift, her words almost whined.   'No... stay....'  'Babe...'  'Please...'  Lisa had sighed, she hated when Flick whined, although she did have enough time before work that she could indulge her.   'Babe... you need to stop whining.'  'Stop trying to leave me just so you can suck up to the old man...'  Lisa had agreed with a sigh.   'Alright... alright fine... no more whining.' 	Sleep To Dream	113	General Audiences	Lisa and Flick have a quiet moment.  AU. 	0	2019-02-24	0
