entry	HITS	KUDOS	TAGS	ID_NUMBER	TEXT	TITLE	WORDCOUNT	MAINTAG	SUMMARY	COMMENTS	DATE	BOOKMARKS
10	18	3	No Archive Warnings Apply,M/M,Naruto,Deidara/Sasori (Naruto),Deidara (Naruto),Sasori (Naruto),Angst,Drabble,I Wrote This Instead of Sleeping,I Will Go Down With This Ship,Angst and Feels,Angsty Schmoop,Short &amp; Sweet,Sad,	17908763	Love, for Akatsuki's Artist duo, was very much like their art.        Art for Akasuna no Sasori is something that lasts forever.	Beliefs	141	General Audiences	Turns out, both Sasori and Deidara were correct.	0	2019-02-24	0
11	38	0	No Archive Warnings Apply,Gen,Game of Thrones (TV),A Song of Ice and Fire &amp; Related Fandoms,Sansa Stark,Jaime Lannister,	17908214	"As Sansa watched Ser Jaime enter the gates, she noticed that he did not wear the garb that would have proclaimed him for all to see as a Lannister and member of the Royal Guard.  He was dressed plainly, in simple armour and a dark cloak, likely to disguise him on such a perilous journey alone in foreign territory.   But he seemed different now; even humbled.   And when he removed his gloves, much to her shock, she saw that his right hand, his sword hand, had been replaced with one of gold!       "" H  ow are the mighty fallen  ,"" she despaired, recalling the Bible verse; and she felt a conflicting sympathy for him."	Girl of the North Country	112	General Audiences		0	2019-02-24	0
12	3	0	No Archive Warnings Apply,Gen,Superman: The Animated Series,Kara In-Ze,Amos Howell,Episode: s03e17 Unity,Drabble,	17907482	I never created Superman TAS.          Worry filled Kara's eyes after she wandered Smallville for hours. She found herself in a barren area. Kara began to smile. *I'll just fly home* she thought. A new frown materialized on her face after a preacher appeared. She saw long hair with dark garments and a hat.  The preacher smiled before he nodded. ''Reverend Amos Howell.''  There was something about Reverend Amos Howell that caused Kara to tense. She viewed a smile stretching. Revealing long teeth. She stepped back.  ''You're far from home?'' Reverend Amos Howell wished to know. Kara's grave was also going to be far from home.    THE END	Far From Home	107	General Audiences	Drabble. Worry filled Kara's eyes after she wandered Smallville for hours.	0	2019-02-24	0
13	3	0	No Archive Warnings Apply,Gen,Superman: The Animated Series,Amos Howell,Kara In-Ze,Drabble,Episode: s03e17 Unity,	17907458	I never created Superman TAS.                   Tedious farm chores were why Kara frowned before she approached Jonathan and Martha Kent in a kitchen. Her eyes widened as soon as she viewed a man standing near Jonathan and Martha Kent in the kitchen. They settled on the man's long hair, dark eyes, preacher outfit, etc.  Jonathan turned to Kara and smiled.''This is Reverend Amos Howell. He's here to preach about unity.''  Reverend Amos Howell smiled and nodded at Kara. He viewed her sitting.  Kara heard a strong accent. Southern? Kara struggled to remain awake as Reverend Amos Howell preached. She looked forward to tedious farm tasks.    THE END	The Visitor	107	General Audiences	Drabble. Tedious farm chores were why Kara frowned before she approached Jonathan and Martha Kent in a kitchen.	0	2019-02-24	0
14	2	0	No Archive Warnings Apply,Gen,Superman: The Animated Series,Amos Howell,Episode: s03e17 Unity,Drabble,	17907425	I don't own Superman TAS characters.                  Frowning, Reverend Amos Howell wandered Smallville for what seemed like hours. Not one person was present for him to lure. Not one person was able to hear about how wonderful unity was. Mostly the master of Reverend Amos Howell.  Many people gathered around a picnic table. Reverend Amos Howell smiled from ear to ear. There were plenty of people to lure for Unity. Treats for Unity.  After approaching the table, Reverend Amos Howell saw a slice of chocolate cake on a plate. He shrugged and ate a bit. He smiled again and ate everything. A treat for Reverend Amos Howell.    THE END	One Treat	108	General Audiences	Drabble. Frowning, Reverend Amos Howell wandered Smallville for what seemed like hours. Not one person was present for him to lure.	0	2019-02-24	0
15	2	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Drabble,Episode: s01e27 The Underdwellers,	17907362	I never created Batman TAS.   The Sewer King began to smile after a pet alligator approached him. He laughed in a gentle tone as he scratched its snout.  ''I recall remaining near you recently. I recall my tears. Yes. Yes. Yes. Yes,'' he said.  The Sewer King also remembered viewing his sick pet writhing. Suffering with it.  The Sewer King continued to scratch the alligator's snout. He refused to remember sobbing any longer. He viewed the alligator's tail wagging. The Sewer King laughed another time. ''You always wagged your tail as I scratched your snout. Yes. Yes. Yes. Yes. Just like when you were alive.''   THE END	The Animal	107	General Audiences	Drabble. The Sewer King began to smile after a pet alligator approached him. He laughed in a gentle tone as he scratched its snout.	0	2019-02-24	0
16	2	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Drabble,Episode: s01e27 The Underdwellers,The Sewer King&#39;s nice family,	17907347	I never created Batman TAS.   Wendell smiled and wrapped his arms around a new stuffed alligator. He continued to smile with his happy parents. A wonderful birthday. Many years later, Wendell scowled and wandered the streets. He remembered standing near his sick parents before their lives ended recently.  A previous scowl. Wendell smiled when a woman walked by. A pocket to pick. His eyes widened after a young man attacked him.  Wendell fled to a sewer and was never located. He eventually found orphans. He became their king.  Children eventually returned from picking pockets. Alligators approached the Sewer King. He smiled. A new family reunion.   THE END	The Family Reunion	107	General Audiences	Drabble. Wendell smiled and wrapped his arms around a new stuffed alligator. He continued to smile with his happy parents. A wonderful birthday.	0	2019-02-24	0
17	2	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Episode: s01e27 The Underdwellers,Drabble,	17907329	I never created Batman TAS.   Children exchanged glances as the Sewer King scowled at them. They remembered him always yelling if they returned with very few pretties.  They viewed the Sewer King's new tears after one of his pet alligators died due to old age.  The alligator's spirit faded into view. It watched as the Sewer King and his children stepped back with wide eyes. It remembered always viewing the Sewer King's scowl if his children returned with a few pretties or zero valuables at all. The spirit began to snarl at the orphans. Its tail wagged after children ran and the Sewer King smiled.    THE END	One Spirit's Revenge	107	General Audiences	Drabble. Children exchanged glances as the Sewer King scowled at them. They remembered him always yelling if they returned with very few pretties	0	2019-02-24	0
18	2	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Drabble,Episode: s01e27 The Underdwellers,	17907302	I never created Batman TAS.   Frowning, the Sewer King stood near a grave marker. He remembered when the sick pet alligator died recently. Another midnight.  ''You won't suffer again. I won't suffer again.'' He turned and abandoned the grave marker.  The Sewer King walked to a table. A new smile replaced his frown. He lifted a plate with a chocolate cake slice and a fork on it.  The Sewer King remembered every smile with the alligator for every midnight. Every tear he revealed after the alligator's demise.  His smile remained as soon as he ate a bit. One midnight snack. Yet another midnight. Another smile.   THE END	Another Midnight	107	General Audiences	Drabble. Frowning, the Sewer King stood near a grave marker.	0	2019-02-24	0
19	3	0	No Archive Warnings Apply,Gen,Batman: The Animated Series,Sewer King,Episode: s01e27 The Underdwellers,Drabble,	17907272	I never created Batman TAS.              A girl's eyes were wide as she ran in the sewer. She remembered the Sewer King scowling at her hours ago. Ordering her to obtain lots and lots of pretties. The girl also recalled his pet alligators always wandering below the streets. She glanced at a few bracelets on her palms. A smile formed. Perhaps the Sewer King wasn't going to scowl for some time.  The girl had to hurry. After remembering a shortcut, she ran into another area. Footsteps caused her to gasp. Alligators?  Another smile after other children appeared with lots of pretties. The girl followed her friends.    THE END	The Shortcut	107	General Audiences	Drabble. A girl's eyes were wide as she ran in the sewer. She remembered the Sewer King scowling at her hours ago. Ordering her to obtain lots and lots of pretties.	0	2019-02-24	0
20	22	0	Creator Chose Not To Use Archive Warnings,F/F,Steven Universe (Cartoon),Amethyst/Pearl (Steven Universe),Pearl (Steven Universe),Amethyst (Steven Universe),Angst,Short One Shot,Drabble,Sad Pearl (Steven Universe),	17912753	"""Pearl?""   ""I'm scared of the heartbreak I suffer after we part"""	Don't go	117	Teen And Up Audiences	Pearl loves amethyst Amethyst loves pearl Pearl hates when opal spilts Amethyst finds it a blessing.	0	2019-02-25	0
21	88	11	Creator Chose Not To Use Archive Warnings,F/M,Rogue One: A Star Wars Story (2016),Cassian Andor/Jyn Erso,Cassian Andor,Jyn Erso,Alternate Universe - Everyone Lives/Nobody Dies,Post-Battle of Scarif,Gentle Kissing,drabble challenge,	17911952	"""We should—""  But Jyn silenced the rest of that thought in her mouth. Her faint pant ghosted over his lips. He ducked his head down and his hand meandered southward, spreading on the small of her back and steadying her, tethering her to him. She eased into his touch, humming, playing with the locks at his nape. His thumb stroked the soft dip of her hip over the layers of fabric.  ""You were saying?""  Cassian could  hear  the smile in the insolent ring of her voice. Turning into nothing but thumping heart and tingling skin, he smiled against Jyn's lips. His exhale became her inhale. She tilted her head and her demanding lips recaptured his. Cassian melted into the kiss, his fingers sliding into her hair— He could stay like this forever, melting into her.  His comm beeped. Their bubble popped.  ""Later.""  She squeezed his hand on her way out."	Inhale, exhale.	150	Teen And Up Audiences	His exhale became her inhale.	2	2019-02-24	1
22	14	1	No Archive Warnings Apply,M/M,SEVENTEEN (Band),Kwon Soonyoung | Hoshi/Lee Seokmin | DK,Kwon Soonyoung | Hoshi,Lee Seokmin | DK,	17911739	'I love you.'   'I know you do,' Soonyoung replied, whilst peppering kisses across the love of his life's face. His cheeks, his temples, his forehead. Anywhere he could manage to pucker his lips. Seokmin looked up at him with warm eyes and a precious smile. 'Say it back then, Soonie.' Moonlight glinted in his eyes. He winked. 'I love you. I love you. I love you,' he replied, moving his lips down from Seokmin's forehead, peppering more kisses along the side of his face to finally connect them with his lips. The pair both leaned back and stared into profound eyes, completely captivated by the other's gaze. This moment felt like forever. They were so in love. And  nothing  was going to change that.   Seokmin jolted awake and looked over to his best friend, laying on the bed across from him. His heart sank. He let out a heavy sigh. Maybe one day...	i love you, forever and always	153	Teen And Up Audiences	they were so in love.	0	2019-02-24	0
23	24	4	No Archive Warnings Apply,Gen,Supernatural,Jack Kline &amp; Sam Winchester,Sam Winchester,Jack Kline,	17909486	He knows he shouldn't have taken it, but he couldn't resist. Mary doesn't wear most of the makeup in her bag, as far as he can tell, and she definitely never wears the bold red lipstick he's spreading on his lips now.  'Jack?'  He startles, dropping the lipstick. It clatters against the porcelain of the sink, leaving a red smear down the side.  'Sorry,' Sam says quietly. 'I didn't mean to scare you. I knocked.'  Jack ducks his head away, as if hiding will take back what Sam's seen. 'I didn't hear.'  'That's okay.' Sam's voice is soothing and the strong hand that settles on Jack's shoulder is equally so. 'What are you doing?'  His stomach clenches nervously. 'I... um...'  Sam glances down at the lipstick in the sink and the little plastic bag over other makeup on the counter. Jack's only really messed with the foundation and lipstick so far.  'Where did you get those?' Sam asks, thumb rubbing slow circles on Jack's shoulder.  '... stole them from Mary,' Jack whispers.  Sam nods and gives Jack's shoulder a squeeze. 'Put them back and we'll run to the store. Get you some of your own.'	Tumblr Drabble #3	194	Teen And Up Audiences	Prompt: jack discovers he likes wearing make up and gets caught by sam - stargazingbros	0	2019-02-24	0
24	14	0	No Archive Warnings Apply,M/M,Voltron: Legendary Defender,Curtis/Shiro (Voltron),Curtis (Voltron),Shiro (Voltron),	17907671	"""I love Shiro and Curtis but they could've been better portrayed,"" someone complains, and Curtis thinks that never would have happened because he's just a pawn in someone's game.  How can anyone love something that's so transparent?  Curtis wonders how anyone could love him. He's nothing but a shadow of a character, an insult to everyone and everything that matters. He's a husk, a worthless attempt at pandering, and he's got no excuses. He knows why he exists, why the Coalition made him what he is, but he doesn't have enough agency to scream the truth. He's just the guy in the background who got married off to the gay guy in hopes of getting to Coalition a prize.  No one should care about him. No one should give him the time of day.  He's not even human.  Shiro deserves better than someone without a soul."	No One Cares	146	Teen And Up Audiences	"""I love Shiro and Curtis but they could've been better portrayed,"" someone complains, and Curtis thinks that never would have happened because he's just a pawn in someone's game.  How can anyone love something that's so transparent?"	0	2019-02-24	0
25	34	5	No Archive Warnings Apply,M/M,Star Trek: Deep Space Nine,Star Trek: The Next Generation,Julian Bashir/Data,Julian Bashir,Data (Star Trek),Miles O&#39;Brien,Pre-Slash,Flirting,Situation contrived to get them into bed together,Power Outage,Rare Pairings,flashfic,Ficlet,DS9 is an unreliable rustbucket,	17907050	'...And how long before you can restore power to the Infirmary, Chief?' It's going to be at least three hours, I'm afraid. 'Acknowledged. Bashir out.' The doctor sighs. 'Just when we were beginning to make progress on categorising your dream images, Data.' 'Working without light or mains power will prove challenging, Doctor.' The Android steps into Bashir's personal space. 'I suggest we...' He brushes his fingertips down the back of the doctor's hand and leans close enough that Bashir can feel his breath against his cheek as he speaks, '...take a break.' 'I...uh,' Bashir stammers, leaning further back over the dark computer console he's perched on the edge of. 'Perhaps you could show me your quarters?' 'Perhaps I could,' Bashir replies, recovering his composure. He is thankful for the darkness concealing the blush he can feel spreading across his face, although he reasons Data will no doubt have sensed the rise in his skin temperature anyway. 'And perhaps we could—uh—use the time to explore  exactly  the lengths your creator went to in making you appear human?' Bashir deliberately bumps his hip against Data's crotch as he hops down from the edge of the console.	In the Dark	197	Teen And Up Audiences	Set after TNG episode  Birthright , Data visits the infirmary on  DS9  to work with Bashir on co-authoring the cybernetics paper Bashir mentions in the episode. A power cut forces them to take a break.	0	2019-02-24	0
26	56	4	Creator Chose Not To Use Archive Warnings,Gen,M/M,Supernatural,Benny Lafitte/Dean Winchester,Dean Winchester,Benny Lafitte,Sam Winchester,Castiel (Supernatural),Garth Fitzgerald IV,Kevin Tran,Minor Character Death,Grieving Dean Winchester,Excessive Drinking,Canon-Typical Violence,Alternate Universe - Canon Divergence,Post-Season/Series 08 Finale,Angst,Hurt/Comfort,Men of Letters Bunker (Supernatural),Purgatory,Suicidal Thoughts,Canon Universe,	17901281	"Another day, another art post! This one's here is for   ""Happy Endings""   by the wonderful   babybluecas  . Little warning here: don't get fooled by the title. While it ends on quite a hopeful note, the road there is anything else than a happy one. Anyway, these artworks were created for the Dean Winchester Big Bang 2019. Enjoy!   Cover:  Header:                        Scenes:                        Notes:   Images:    homeofthenutty ,  Supernatural Fans Online , , Google Image Search, own hoard Fonts:  Title, Credits, Header:   Urban Jungle   Text Scene Chapter 1:   Bonjour Allgera Sans Bold   Text Scenes Chapters 2-6:   Courgette   I hope you like it! And now please head over to the story and leave my author some love!"	Happy Endings - Artpost	108	Teen And Up Audiences	Story summary: The Gates of Hell are closed, and so are the Gates of Heaven. It's the ultimate win. But the price was too high for Dean to celebrate. Sam is dead, Cas is locked away. And he's left all alone, with just the promise he made to his brother to keep him going.  But when even that is not enough anymore and the haunting loneliness becomes too much to bear, Dean stands before a choice that might help him reconcile with his past mistakes and maybe give him something else to live for.	2	2019-02-24	0
27	12	1	No Archive Warnings Apply,F/F,World Wrestling Entertainment,Lisa the Security Guard (Professional Wrestling)/Original Female Character(s),Lisa the Security Guard (Professional Wrestling),Original Female Character(s),Office Sex,Kissing in the Office,	17901011	'Am I interrupting?'  Lisa's voice came from behind Flick, her smirk slight when the girl straightened and glanced over at her, her own smile soft.   'No, I'm about done...'  'Think the boss would mind...'  'Not if we used the secretary's nook...'  Flick's smirk was clear as she lead Lisa through a hidden door into a second, smaller office, pushing the door shut even as Lisa moved to kiss her, backing her up until she fell back onto the office sofa, settling over her and lifting a leg against her hip as she kissed her.   'You sure about this?'  'Lisa I swear to god...'	Office Interlude	103	Teen And Up Audiences	A little time alone for Lisa and Flick at work.  AU.	0	2019-02-24	0
28	38	4	No Archive Warnings Apply,F/F,Once Upon a Time (TV),&quot;Hyde&quot; Evil Queen/&quot;Jekyll&quot; Regina Mills,Evil Queen | Regina Mills,&quot;Hyde&quot; Evil Queen,&quot;Jekyll&quot; Regina Mills,Rumplestiltskin | Mr. Gold,Alternate Universe - Canon,Whump,Blood and Injury,Magic-Users,Humor,Femslash,Femslash February,Femslash February 2019,	17900759	"*  Rumpelstiltskin's hand wrings  harder  against the Evil Queen's neck, and Regina winces from across the foyer.  A twinge, an echo —  a phantom  — of sore-sharp pain rises and spreads. She massages absently at her own neck.  ""Gold,"" Regina snaps, eyes narrowing. "" Back off. ""  He turns his head, and in that split-second, Regina feels a deeply penetrating chill run up her spine. A physical, traumatized reaction. Rumpelstiltskin had always been good about instilling fear in his teachings.  ""… Of course, dearie.""  A loud, colorful whirl of magical smoke. He's gone.  Or at least for the time being.  Well… at least now something's going right… Regina huffs, wiping again absently at her forehead. Blood trickles heavily from the Evil Queen's hairline. She only stares wordlessly, confounded at Regina who sighs and pull out a handkerchief from her dark gray blazer's pocket, dabbing and smearing crimson fluid.  ""You're an idiot."" Regina doesn't feel sorry for blurting this out, gazing over the Evil Queen's face as this mirror-like image begins to smile hesitantly. A person who looks so much like her. ""Even if you're  me .""  ""We  do  look good in red,"" the Evil Queen quips, smudging a bit of red on the pucker of Regina's lips.  *"	a million charming words	200	Teen And Up Audiences	'We  do  look good in red.'	5	2019-02-24	1
29	10	3	Creator Chose Not To Use Archive Warnings,F/F,Lost Girl (TV),Tamsin/Original Female Character(s),Tamsin (Lost Girl),Original Female Character(s),Drabble,Teenagers,Teen Romance,Reincarnation,First Kiss,Mild Sexual Content,Underage sort of but also not,Kissing,Sort of like a reader-insert,Except Tamsin POV Third Person,	17899820	Tamsin was a teenager.  Or, she was a week old.  Or, she was thousands of years old.   She had never kissed anyone.  Or, she had done it countless times.  Except she hadn't recovered memories from past lives yet. One night, Tamsin met a woman and desired something she couldn't quite pinpoint.  But her body knew.  She felt a thrill inside.  It spread down her stomach to the space between her legs.  She felt herself getting wet, and gasped.  It was the first time that had happened, except once she experienced the sensation, she realized it wasn't new at all.  Tamsin didn't recall how to kiss.  She let the woman take control.  As Tamsin melted into their embrace, flashes of her past first kisses played across her mind like a movie.   When the movie played again in her next life, Tamsin would remember tonight's first kiss as one of the best.	First Kisses	150	Teen And Up Audiences	As a Valkyrie, Tamsin has had many lives, and just as many first kisses.	1	2019-02-23	0
30	77	10	No Archive Warnings Apply,M/M,Teen Wolf (TV),Derek Hale &amp; Stiles Stilinski,Derek Hale,Stiles Stilinski,Drabble,Alternate Universe - High School,Bad Boy Stiles Stilinski,Awkward Derek Hale,they&#39;re both in high school,Flirting,	17899187	' Psst ,' Derek heard. ' Hot stuff .' Stiles Stilinski sat slumped in his seat, his leg blocking the aisle. Derek kept his head down. If only Mr. Finstock wasn't ranting at Greenberg in the hall. He'd scold Stiles for his distracting behavior. 'Der-rek,' Stiles sing-songed. Derek's glance revealed Stiles polishing his nails against his shirt, like some gangster in an old movie, then  winking  at Derek! Derek blushed. Worse, his wrist started itching but he didn't dare scratch now because Derek knew drawing attention to one's wrist was body language for sexual receptivity. He didn't want Stiles to think  that . Did he?	Nothing But Trouble	100	Teen And Up Audiences	"The sterekdrabbles challenge for 02/22/19: 'wrist, slump, polish' High school Sterek. The title is a verse from Gloria Estafan's ""Bad Boy"" song, which applies 100% to Derek."	5	2019-02-23	0
31	53	1	Underage,M/M,Spider-Man - All Media Types,Deadpool - All Media Types,Peter Parker/Wade Wilson,Peter Parker/Gwen Stacy,	17898239	"""Hey Wilson"" I leave what I was doing to look at Lenay. It was not new to see her around here, that custom had started a couple of months ago and it was impossible to ask her to stop.  Normally he was used to working in silence, but this became impossible after new members joined the team. I try to ignore her as always, but it seemed that today she was more insistent.  ""What's going on?""  Lenay told him about a last attack, they had discovered one of the many villages that Charles had occupied and they apparently killed everyone. It was not great news.  ""He wants you to go in. Maybe someone is still there ...""  ""Just let me finish this and I'll go""  Lenay retired and hurried to finish repairing his launchers. They were very damaged by the last battle they had against 108 I do not leave very well stopped.  ""That idiot"""	Mercenary	154	Teen And Up Audiences	The world is not as we know it. The bad ones abound and there is no one who can save us.	0	2019-02-23	0
